Compound,Rep,samp,EE.adjust.conc,C,N,Nmol.C,Nmol.N
Xanthine,210329_Smp_PS_A,PS,0.09494784567755846,5,4,0.47473922838779226,0.3797913827102338
Xanthine,210329_Smp_PS_B,PS,0.08168281158737219,5,4,0.4084140579368609,0.32673124634948875
Xanthine,210329_Smp_PS_C,PS,0.09993137256202886,5,4,0.4996568628101443,0.39972549024811543
Phenylalanine,210329_Smp_Aloha_A,A,0.7630977749293059,9,1,6.867879974363753,0.7630977749293059
Phenylalanine,210329_Smp_Aloha_B,A,0.6234365101937993,9,1,5.610928591744194,0.6234365101937993
Phenylalanine,210329_Smp_Aloha_C,A,0.48103737326920887,9,1,4.3293363594228795,0.48103737326920887
Phenylalanine,210329_Smp_PS_A,PS,0.5409061666840999,9,1,4.868155500156899,0.5409061666840999
Phenylalanine,210329_Smp_PS_B,PS,0.5305602163724645,9,1,4.775041947352181,0.5305602163724645
Phenylalanine,210329_Smp_PS_C,PS,0.5961321414008997,9,1,5.365189272608097,0.5961321414008997
