MF,FinalBMIS,Orig_RSD,FinalRSD,SampID,runDate,type,samp,replicate,Area,Adjusted_Area,Blk.QC,Rep,Background,Mass.Error.PPM,SN,SNFlag,ppmFlag,areaminFlag
Cytidine_Pos,"L-Isoleucine, 15N",0.19090697554016348,0.04777258386446772,210322_Smp_PPL_Aloha_B,210322,Smp,PPL,Aloha,80357,45352.637678317355,ok,210322_Smp_PPL_Aloha_B,0,0.1,Inf,NA,NA,NA
Cytidine_Pos,"L-Isoleucine, 15N",0.19090697554016348,0.04777258386446772,210322_Smp_PPL_Aloha_C,210322,Smp,PPL,Aloha,113810,59191.14425990758,ok,210322_Smp_PPL_Aloha_C,0,-1.6,Inf,NA,NA,NA
Cytidine_Pos,"L-Isoleucine, 15N",0.19090697554016348,0.04777258386446772,210322_Smp_PPL_PS_A,210322,Smp,PPL,PS,133211,123998.85216630588,ok,210322_Smp_PPL_PS_A,0,-1.6,Inf,NA,NA,NA
Cytidine_Pos,"L-Isoleucine, 15N",0.19090697554016348,0.04777258386446772,210322_Smp_PPL_PS_B,210322,Smp,PPL,PS,105860,88933.5499198079,ok,210322_Smp_PPL_PS_B,0,-1.9,Inf,NA,NA,NA
Cytidine_Pos,"L-Isoleucine, 15N",0.19090697554016348,0.04777258386446772,210322_Smp_PPL_PS_C,210322,Smp,PPL,PS,97492,79743.9105726265,ok,210322_Smp_PPL_PS_C,0,-1,Inf,NA,NA,NA
DMSP_Pos,Inj_vol,0.04815148754712494,0.04815148754712494,210322_Smp_PPL_Aloha_A,210322,Smp,PPL,Aloha,218217,218217,ok,210322_Smp_PPL_Aloha_A,0,-3.2,Inf,NA,NA,NA
DMSP_Pos,Inj_vol,0.04815148754712494,0.04815148754712494,210322_Smp_PPL_Aloha_B,210322,Smp,PPL,Aloha,86132,86132,ok,210322_Smp_PPL_Aloha_B,0,-3.5,Inf,NA,NA,NA
DMSP_Pos,Inj_vol,0.04815148754712494,0.04815148754712494,210322_Smp_PPL_Aloha_C,210322,Smp,PPL,Aloha,235076,235076,ok,210322_Smp_PPL_Aloha_C,0,-3.8,Inf,NA,NA,NA
DMSP_Pos,Inj_vol,0.04815148754712494,0.04815148754712494,210322_Smp_PPL_PS_A,210322,Smp,PPL,PS,57552,57552,ok,210322_Smp_PPL_PS_A,0,-4.4,Inf,NA,NA,NA
DMSP_Pos,Inj_vol,0.04815148754712494,0.04815148754712494,210322_Smp_PPL_PS_B,210322,Smp,PPL,PS,75956,75956,ok,210322_Smp_PPL_PS_B,0,-4.4,Inf,NA,NA,NA
DMSP_Pos,Inj_vol,0.04815148754712494,0.04815148754712494,210322_Smp_PPL_PS_C,210322,Smp,PPL,PS,77941,77941,ok,210322_Smp_PPL_PS_C,0,-4.4,Inf,NA,NA,NA
Glutamylphenylalanine_Pos,"L-Isoleucine, 15N",0.18545219580619432,0.06785662526341445,210322_Smp_PPL_Aloha_A,210322,Smp,PPL,Aloha,442985,242606.11222466192,ok,210322_Smp_PPL_Aloha_A,0,-1.7,Inf,NA,NA,NA
Glutamylphenylalanine_Pos,"L-Isoleucine, 15N",0.18545219580619432,0.06785662526341445,210322_Smp_PPL_Aloha_B,210322,Smp,PPL,Aloha,339268,191479.25731233583,ok,210322_Smp_PPL_Aloha_B,55797,-1.4,6.080398587737692,NA,NA,NA
Glutamylphenylalanine_Pos,"L-Isoleucine, 15N",0.18545219580619432,0.06785662526341445,210322_Smp_PPL_Aloha_C,210322,Smp,PPL,Aloha,153990,80088.25502665115,ok,210322_Smp_PPL_Aloha_C,459194,-2.3,0.3353484583857803,SNFlag,NA,NA
