Rep,Compound,Area,Background,Mass.Error.PPM,SN,SNFlag,ppmFlag,areaminFlag
210329_Std_250nMStdsInH2O_1,"2,4 decadienal",15655631,299961,-3.1,52.19222165548188,NA,NA,NA
210329_Std_250nMStdsInH2O_2,"2,4 decadienal",12916381,491282,-2.6,26.29117492600991,NA,NA,NA
210329_Std_250nMStdsInMatrix_1,"2,4 decadienal",15428379,338069,-3.4,45.636775332846256,NA,NA,NA
210329_Std_250nMStdsInMatrix_2,"2,4 decadienal",13206829,399907,-3,33.02475075455043,NA,NA,NA
210329_Std_H2OInMatrix_1,"2,4 decadienal",40660,0,-3,Inf,NA,NA,NA
210329_Std_H2OInMatrix_2,"2,4 decadienal",75815,0,-2.4,Inf,NA,NA,NA
210329_Blk_Blank1_A,"2,4 decadienal",39153,0,-2.2,Inf,NA,NA,NA
210329_Blk_Blank1_B,"2,4 decadienal",33126,3579,-2.8,9.255658005029337,NA,NA,NA
210329_Blk_Blank1_C,"2,4 decadienal",62429,0,-3,Inf,NA,NA,NA
210329_Blk_Blank2_A,"2,4 decadienal",21648,0,-2.5,Inf,NA,NA,NA
210329_Blk_Blank2_B,"2,4 decadienal",65103,16813,-2.8,3.8721822399333847,NA,NA,NA
210329_Blk_Blank2_C,"2,4 decadienal",103841,0,-1.8,Inf,NA,NA,NA
210329_Blk_Blank3_A,"2,4 decadienal",21822,0,-2.2,Inf,NA,NA,NA
210329_Blk_Blank3_B,"2,4 decadienal",24704,19412,-2.4,1.2726148773954256,NA,NA,NA
210329_Blk_Blank3_C,"2,4 decadienal",34080,18196,-2.7,1.872939107496153,NA,NA,NA
210329_Blk_PPL_Blank_A,"2,4 decadienal",NA,NA,NA,NA,NA,NA,NA
210329_Blk_PPL_Blank_B,"2,4 decadienal",NA,NA,NA,NA,NA,NA,NA
210329_Blk_PPL_Blank_C,"2,4 decadienal",18644,0,-2.1,Inf,NA,NA,NA
210329_Poo_TruePoo_Full1,"2,4 decadienal",71144,0,-2.9,Inf,NA,NA,NA
210329_Poo_TruePoo_Full2,"2,4 decadienal",67788,0,-2.7,Inf,NA,NA,NA
210329_Poo_TruePoo_Full3,"2,4 decadienal",59977,0,-2.8,Inf,NA,NA,NA
210329_Poo_TruePoo_Half1,"2,4 decadienal",16263,0,-2.5,Inf,NA,NA,NA
210329_Poo_TruePoo_Half2,"2,4 decadienal",38339,0,-2.1,Inf,NA,NA,NA
210329_Poo_TruePoo_Half3,"2,4 decadienal",21438,3576,-2.2,5.99496644295302,NA,NA,NA
210329_Smp_Aloha_A,"2,4 decadienal",118057,26672,-3,4.42625224955009,NA,NA,NA
210329_Smp_Aloha_B,"2,4 decadienal",132175,0,-2.9,Inf,NA,NA,NA
210329_Smp_Aloha_C,"2,4 decadienal",17674,0,-2.6,Inf,NA,NA,NA
210329_Smp_Mort_Test_A,"2,4 decadienal",24387,6609,-4,3.6899682251475263,NA,NA,NA
210329_Smp_Mort_Test_B,"2,4 decadienal",27745,4480,-3.4,6.193080357142857,NA,NA,NA
210329_Smp_PPL_Aloha_A,"2,4 decadienal",52327,0,-2.4,Inf,NA,NA,NA
210329_Smp_PPL_Aloha_B,"2,4 decadienal",51523,0,-2.2,Inf,NA,NA,NA
210329_Smp_PPL_Aloha_C,"2,4 decadienal",59411,2713,-2.5,21.898636196092887,NA,NA,NA
210329_Smp_PPL_PS_A,"2,4 decadienal",72101,0,-2.3,Inf,NA,NA,NA
210329_Smp_PPL_PS_B,"2,4 decadienal",30892,2891,-2,10.685575925285368,NA,NA,NA
210329_Smp_PPL_PS_C,"2,4 decadienal",91828,0,-2.2,Inf,NA,NA,NA
210329_Smp_PS_A,"2,4 decadienal",67532,0,-1.9,Inf,NA,NA,NA
210329_Smp_PS_B,"2,4 decadienal",22198,1811,-2.6,12.257316399779128,NA,NA,NA
210329_Smp_PS_C,"2,4 decadienal",30801,13921,-2.7,2.2125565692119817,NA,NA,NA
210329_Std_250nMStdsInH2O_1,"2,4 octadienal",9137598,482266,-2.9,18.947215851832805,NA,NA,NA
210329_Std_250nMStdsInH2O_2,"2,4 octadienal",7474331,672432,-2.4,11.115370773550337,NA,NA,NA
210329_Std_250nMStdsInMatrix_1,"2,4 octadienal",9025186,760722,-2.7,11.863973961578605,NA,NA,NA
210329_Std_250nMStdsInMatrix_2,"2,4 octadienal",7704356,664008,-2.5,11.602805990289273,NA,NA,NA
210329_Std_H2OInMatrix_1,"2,4 octadienal",23452,73565,-3.2,0.3187929042343506,SNFlag,NA,NA
210329_Std_H2OInMatrix_2,"2,4 octadienal",52806,7581,-2.5,6.965571824297586,NA,NA,NA
210329_Blk_Blank1_A,"2,4 octadienal",65342,9505,-3,6.874487112046292,NA,NA,NA
210329_Blk_Blank1_B,"2,4 octadienal",32057,58152,-3.1,0.5512622093823084,SNFlag,NA,NA
210329_Blk_Blank1_C,"2,4 octadienal",36112,14622,-3,2.4697031869785255,NA,NA,NA
210329_Blk_Blank2_A,"2,4 octadienal",65450,8907,-2.5,7.348153137981363,NA,NA,NA
210329_Blk_Blank2_B,"2,4 octadienal",16077,20659,-2.6,0.7782080449198896,SNFlag,NA,NA
210329_Blk_Blank2_C,"2,4 octadienal",3397,48085,-2.3,0.07064573151710513,SNFlag,NA,areaminFlag
210329_Blk_Blank3_A,"2,4 octadienal",15486,40445,-2.6,0.3828903449128446,SNFlag,NA,NA
210329_Blk_Blank3_B,"2,4 octadienal",32274,54080,-2.7,0.5967825443786983,SNFlag,NA,NA
210329_Blk_Blank3_C,"2,4 octadienal",13224,65401,-2.7,0.20219874313848413,SNFlag,NA,NA
210329_Blk_PPL_Blank_A,"2,4 octadienal",17414,0,-1.9,Inf,NA,NA,NA
210329_Blk_PPL_Blank_B,"2,4 octadienal",31486,0,-2.1,Inf,NA,NA,NA
210329_Blk_PPL_Blank_C,"2,4 octadienal",56406,56998,-2.5,0.9896136706551107,SNFlag,NA,NA
210329_Poo_TruePoo_Full1,"2,4 octadienal",51323,24352,-3.1,2.107547634691196,NA,NA,NA
210329_Poo_TruePoo_Full2,"2,4 octadienal",39466,90763,-2.6,0.4348247633947754,SNFlag,NA,NA
210329_Poo_TruePoo_Full3,"2,4 octadienal",26798,48432,-2.7,0.5533118599273208,SNFlag,NA,NA
210329_Poo_TruePoo_Half1,"2,4 octadienal",15373,22004,-2.7,0.6986457007816761,SNFlag,NA,NA
210329_Poo_TruePoo_Half2,"2,4 octadienal",21469,174662,-2.4,0.12291740619024172,SNFlag,NA,NA
210329_Poo_TruePoo_Half3,"2,4 octadienal",47076,747,-2.4,63.02008032128514,NA,NA,NA
210329_Smp_Aloha_A,"2,4 octadienal",38368,55328,-3.3,0.6934644303065356,SNFlag,NA,NA
210329_Smp_Aloha_B,"2,4 octadienal",40350,27661,-2.6,1.4587325114782546,NA,NA,NA
210329_Smp_Aloha_C,"2,4 octadienal",11841,32325,-2.6,0.36631090487238976,SNFlag,NA,NA
210329_Smp_Mort_Test_A,"2,4 octadienal",64539,6100,-2.8,10.58016393442623,NA,NA,NA
210329_Smp_Mort_Test_B,"2,4 octadienal",24797,29242,-3,0.847992613364339,SNFlag,NA,NA
210329_Smp_PPL_Aloha_A,"2,4 octadienal",28679,51259,-2.5,0.5594919916502468,SNFlag,NA,NA
210329_Smp_PPL_Aloha_B,"2,4 octadienal",45896,39193,-2.6,1.171025438216008,NA,NA,NA
210329_Smp_PPL_Aloha_C,"2,4 octadienal",100056,16095,-2.4,6.216589002795899,NA,NA,NA
210329_Smp_PPL_PS_A,"2,4 octadienal",72238,104777,-2.3,0.6894452026685246,SNFlag,NA,NA
210329_Smp_PPL_PS_B,"2,4 octadienal",54601,90139,-2.2,0.6057422425365269,SNFlag,NA,NA
210329_Smp_PPL_PS_C,"2,4 octadienal",61314,88005,-1.8,0.6967104141810124,SNFlag,NA,NA
210329_Smp_PS_A,"2,4 octadienal",15651,39203,-1.6,0.3992296507920312,SNFlag,NA,NA
210329_Smp_PS_B,"2,4 octadienal",26547,15688,-1.9,1.6921851096379399,NA,NA,NA
210329_Smp_PS_C,"2,4 octadienal",21328,37280,-2.4,0.5721030042918455,SNFlag,NA,NA
210329_Std_250nMStdsInH2O_1,3 Indolebutyric Acid,6140185,0,0.5,Inf,NA,NA,NA
210329_Std_250nMStdsInH2O_2,3 Indolebutyric Acid,9325307,114840,1.4,81.20260362243121,NA,NA,NA
210329_Std_250nMStdsInMatrix_1,3 Indolebutyric Acid,5443382,46416,0.8,117.27382799034815,NA,NA,NA
210329_Std_250nMStdsInMatrix_2,3 Indolebutyric Acid,7882706,129370,1.1,60.93148334235139,NA,NA,NA
210329_Std_H2OInMatrix_1,3 Indolebutyric Acid,482452,0,0.2,Inf,NA,NA,NA
210329_Std_H2OInMatrix_2,3 Indolebutyric Acid,357805,0,1.2,Inf,NA,NA,NA
210329_Blk_Blank1_A,3 Indolebutyric Acid,190473,0,0.2,Inf,NA,NA,NA
210329_Blk_Blank1_B,3 Indolebutyric Acid,94188,0,0.4,Inf,NA,NA,NA
210329_Blk_Blank1_C,3 Indolebutyric Acid,124774,0,0.8,Inf,NA,NA,NA
210329_Blk_Blank2_A,3 Indolebutyric Acid,58392,0,1.6,Inf,NA,NA,NA
210329_Blk_Blank2_B,3 Indolebutyric Acid,58549,0,1.1,Inf,NA,NA,NA
210329_Blk_Blank2_C,3 Indolebutyric Acid,117880,0,1.9,Inf,NA,NA,NA
210329_Blk_Blank3_A,3 Indolebutyric Acid,175282,0,0.9,Inf,NA,NA,NA
210329_Blk_Blank3_B,3 Indolebutyric Acid,145669,0,0.9,Inf,NA,NA,NA
210329_Blk_Blank3_C,3 Indolebutyric Acid,46682,0,0.8,Inf,NA,NA,NA
210329_Blk_PPL_Blank_A,3 Indolebutyric Acid,NA,NA,NA,NA,NA,NA,NA
210329_Blk_PPL_Blank_B,3 Indolebutyric Acid,3564,0,0,Inf,NA,NA,areaminFlag
210329_Blk_PPL_Blank_C,3 Indolebutyric Acid,NA,NA,NA,NA,NA,NA,NA
210329_Poo_TruePoo_Full1,3 Indolebutyric Acid,540666,0,0.6,Inf,NA,NA,NA
210329_Poo_TruePoo_Full2,3 Indolebutyric Acid,573810,0,1,Inf,NA,NA,NA
210329_Poo_TruePoo_Full3,3 Indolebutyric Acid,2193,0,1.5,Inf,NA,NA,areaminFlag
210329_Poo_TruePoo_Half1,3 Indolebutyric Acid,268564,0,0.7,Inf,NA,NA,NA
210329_Poo_TruePoo_Half2,3 Indolebutyric Acid,256215,0,0.6,Inf,NA,NA,NA
210329_Poo_TruePoo_Half3,3 Indolebutyric Acid,238310,0,0.8,Inf,NA,NA,NA
210329_Smp_Aloha_A,3 Indolebutyric Acid,177509,0,0.3,Inf,NA,NA,NA
210329_Smp_Aloha_B,3 Indolebutyric Acid,118224,0,1.1,Inf,NA,NA,NA
210329_Smp_Aloha_C,3 Indolebutyric Acid,168404,0,0.7,Inf,NA,NA,NA
210329_Smp_Mort_Test_A,3 Indolebutyric Acid,361187,19992,0.2,18.06657663065226,NA,NA,NA
210329_Smp_Mort_Test_B,3 Indolebutyric Acid,340672,0,0.2,Inf,NA,NA,NA
210329_Smp_PPL_Aloha_A,3 Indolebutyric Acid,14197,0,1,Inf,NA,NA,NA
210329_Smp_PPL_Aloha_B,3 Indolebutyric Acid,9342,0,1,Inf,NA,NA,NA
210329_Smp_PPL_Aloha_C,3 Indolebutyric Acid,25862,0,0.6,Inf,NA,NA,NA
210329_Smp_PPL_PS_A,3 Indolebutyric Acid,148337,0,1,Inf,NA,NA,NA
210329_Smp_PPL_PS_B,3 Indolebutyric Acid,183256,0,0.7,Inf,NA,NA,NA
210329_Smp_PPL_PS_C,3 Indolebutyric Acid,103067,0,1.6,Inf,NA,NA,NA
210329_Smp_PS_A,3 Indolebutyric Acid,57747,0,1.3,Inf,NA,NA,NA
210329_Smp_PS_B,3 Indolebutyric Acid,2284,0,2.2,Inf,NA,NA,areaminFlag
210329_Smp_PS_C,3 Indolebutyric Acid,48091,0,1.1,Inf,NA,NA,NA
210329_Std_250nMStdsInH2O_1,3 Indolepropionic Acid,4951550,25297,0.5,195.73664861446022,NA,NA,NA
210329_Std_250nMStdsInH2O_2,3 Indolepropionic Acid,8417504,91353,0.8,92.14261162742329,NA,NA,NA
210329_Std_250nMStdsInMatrix_1,3 Indolepropionic Acid,4447168,76333,0.2,58.26009720566466,NA,NA,NA
210329_Std_250nMStdsInMatrix_2,3 Indolepropionic Acid,7521172,35122,0.7,214.14418313307897,NA,NA,NA
210329_Std_H2OInMatrix_1,3 Indolepropionic Acid,2644,0,-0.2,Inf,NA,NA,areaminFlag
210329_Std_H2OInMatrix_2,3 Indolepropionic Acid,135723,0,0.6,Inf,NA,NA,NA
210329_Blk_Blank1_A,3 Indolepropionic Acid,93485,0,0,Inf,NA,NA,NA
210329_Blk_Blank1_B,3 Indolepropionic Acid,145855,0,0.1,Inf,NA,NA,NA
210329_Blk_Blank1_C,3 Indolepropionic Acid,91391,0,0.2,Inf,NA,NA,NA
210329_Blk_Blank2_A,3 Indolepropionic Acid,37342,0,0.5,Inf,NA,NA,NA
210329_Blk_Blank2_B,3 Indolepropionic Acid,9195,0,1.5,Inf,NA,NA,NA
210329_Blk_Blank2_C,3 Indolepropionic Acid,72162,0,1.1,Inf,NA,NA,NA
210329_Blk_Blank3_A,3 Indolepropionic Acid,13553,0,0.4,Inf,NA,NA,NA
210329_Blk_Blank3_B,3 Indolepropionic Acid,19045,0,0.7,Inf,NA,NA,NA
210329_Blk_Blank3_C,3 Indolepropionic Acid,10041,0,0.4,Inf,NA,NA,NA
210329_Blk_PPL_Blank_A,3 Indolepropionic Acid,NA,NA,NA,NA,NA,NA,NA
210329_Blk_PPL_Blank_B,3 Indolepropionic Acid,3065,0,0,Inf,NA,NA,areaminFlag
210329_Blk_PPL_Blank_C,3 Indolepropionic Acid,2243,0,0.1,Inf,NA,NA,areaminFlag
210329_Poo_TruePoo_Full1,3 Indolepropionic Acid,183340,0,0,Inf,NA,NA,NA
210329_Poo_TruePoo_Full2,3 Indolepropionic Acid,239196,0,0.5,Inf,NA,NA,NA
210329_Poo_TruePoo_Full3,3 Indolepropionic Acid,182226,0,0.7,Inf,NA,NA,NA
210329_Poo_TruePoo_Half1,3 Indolepropionic Acid,76181,0,0.3,Inf,NA,NA,NA
210329_Poo_TruePoo_Half2,3 Indolepropionic Acid,99642,0,0.1,Inf,NA,NA,NA
210329_Poo_TruePoo_Half3,3 Indolepropionic Acid,83308,0,0.2,Inf,NA,NA,NA
210329_Smp_Aloha_A,3 Indolepropionic Acid,79896,0,-0.1,Inf,NA,NA,NA
210329_Smp_Aloha_B,3 Indolepropionic Acid,40274,0,0.6,Inf,NA,NA,NA
210329_Smp_Aloha_C,3 Indolepropionic Acid,88453,0,0.1,Inf,NA,NA,NA
210329_Smp_Mort_Test_A,3 Indolepropionic Acid,31376,0,-0.3,Inf,NA,NA,NA
210329_Smp_Mort_Test_B,3 Indolepropionic Acid,49116,0,-0.4,Inf,NA,NA,NA
210329_Smp_PPL_Aloha_A,3 Indolepropionic Acid,NA,NA,NA,NA,NA,NA,NA
210329_Smp_PPL_Aloha_B,3 Indolepropionic Acid,8883,0,0.3,Inf,NA,NA,NA
210329_Smp_PPL_Aloha_C,3 Indolepropionic Acid,11619,0,0.2,Inf,NA,NA,NA
210329_Smp_PPL_PS_A,3 Indolepropionic Acid,NA,NA,NA,NA,NA,NA,NA
210329_Smp_PPL_PS_B,3 Indolepropionic Acid,3465,0,0,Inf,NA,NA,areaminFlag
210329_Smp_PPL_PS_C,3 Indolepropionic Acid,10349,0,0.6,Inf,NA,NA,NA
210329_Smp_PS_A,3 Indolepropionic Acid,42268,0,1,Inf,NA,NA,NA
210329_Smp_PS_B,3 Indolepropionic Acid,36386,0,0.9,Inf,NA,NA,NA
210329_Smp_PS_C,3 Indolepropionic Acid,47147,0,0.4,Inf,NA,NA,NA
210329_Std_250nMStdsInH2O_1,3-Indoleacetonitrile,307536,0,-2.6,Inf,NA,NA,NA
210329_Std_250nMStdsInH2O_2,3-Indoleacetonitrile,351051,0,-2.1,Inf,NA,NA,NA
210329_Std_250nMStdsInMatrix_1,3-Indoleacetonitrile,252944,0,-2.8,Inf,NA,NA,NA
210329_Std_250nMStdsInMatrix_2,3-Indoleacetonitrile,308729,0,-2.2,Inf,NA,NA,NA
