Compound,210322_Blk_Blank1_A,210322_Blk_Blank1_B,210322_Blk_Blank1_C,210322_Blk_Blank2_A,210322_Blk_Blank2_B,210322_Blk_Blank2_C,210322_Blk_Blank3_A,210322_Blk_Blank3_B,210322_Blk_Blank3_C,210322_Blk_Blank4_A,210322_Blk_Blank4_B,210322_Blk_Blank4_C,210322_Blk_Blank5_A,210322_Blk_Blank5_B,210322_Blk_Blank5_C,210322_Smp_Aloha_A,210322_Smp_Aloha_B,210322_Smp_Aloha_C,210322_Smp_LW_A,210322_Smp_LW_B,210322_Smp_LW_C,210322_Smp_NP_A,210322_Smp_NP_B,210322_Smp_NP_C,210322_Smp_PS_A,210322_Smp_PS_B,210322_Smp_PS_C,210322_Blk_Blank6_A,210322_Blk_Blank6_B,210322_Blk_Blank6_C,210322_Blk_Blank7_A,210322_Blk_Blank7_B,210322_Blk_Blank7_C,210322_Smp_C_1mL_NS_A,210322_Smp_C_1mL_NS_B,210322_Smp_C_1mL_NS_C,210322_Smp_C_1mL_SAf_A,210322_Smp_C_1mL_SAf_B,210322_Smp_C_1mL_SAf_C,210322_Smp_C_1mL_SBe_A,210322_Smp_C_1mL_SBe_B,210322_Smp_C_1mL_SBe_C,210322_Blk_PPL_Blank_A,210322_Blk_PPL_Blank_B,210322_Blk_PPL_Blank_C,210322_Smp_PPL_Aloha_A,210322_Smp_PPL_Aloha_B,210322_Smp_PPL_Aloha_C,210322_Smp_PPL_PS_A,210322_Smp_PPL_PS_B,210322_Smp_PPL_PS_C,210322_Poo_TruePoo_Full1,210322_Poo_TruePoo_Full2,210322_Poo_TruePoo_Full3,210322_Poo_TruePoo_Half1,210322_Poo_TruePoo_Half2,210322_Poo_TruePoo_Half3,210322_Std_4uMStdsMix1InH2O_1,210322_Std_4uMStdsMix1InH2O_2,210322_Std_4uMStdsMix1InMatrix_1,210322_Std_4uMStdsMix1InMatrix_2,210322_Std_4uMStdsMix2InH2O_1,210322_Std_4uMStdsMix2InH2O_2,210322_Std_4uMStdsMix2InMatrix_1,210322_Std_4uMStdsMix2InMatrix_2,210322_Std_H2OInMatrix_1,210322_Std_H2OInMatrix_2
Methionine_Pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71140856,73168416,65616460,212788,10665,0,0,0,0,5345,0,0,107663,34485,77564,3080837,3927535,5206943,1460680,1853367,2654465,98715336,154381920,94450536,165123936,43296,191480,1965216,3591508,1929479,3014955
Methionine Sulfoxide_Pos,133382,109852,265175,238056,303324,461681,143058,92954,111884,300821,320849,461869,54122,433256,241422,3396852,2851045,3129762,632064,883853,715898,394607,475806,249677,885407,1510999,1734384,271819,297740,352678,729770,768278,1094860,322830,294300,339776,68474992,63542388,60096560,86445664,84679776,84835976,511546,330632,263900,647746,375591,639875,371612,528946,300233,10274713,11918111,13759175,4744147,6162051,6771249,84084272,112655656,92554120,131419112,365343,239001,7038974,8240602,6420948,8745514
Muramic Acid_Pos,10711,13907,4816,0,0,3910,12438,0,11449,0,17820,9256,9921,6188,18637,14530,12407,4351,0,70989,18562,0,0,15629,29189,14900,11007,52212,0,106218,34623,13530,40029,0,7142,20821,47428384,49136284,45432596,16409179,15358587,16254182,0,12596,47038,0,22871,36733,52197,0,21611,3049270,3726524,4519182,1455759,1877285,2235324,56214456,80630824,49184808,87812896,261339,248566,2283009,3295156,1786123,2537730
N(e)-Acetyl-Lysine_Pos,34998,14711,9361,31793,14981,37840,7281,22692,81080,21304,4210,67862,7004,61485,7959,379132,221774,234859,112770,131956,269573,14218,42481,30299,129000,78998,76073,22447,33038,14179,182921,436806,846280,18142,11749,47726,188156688,174151392,167454128,114278976,110768024,111049280,6844,25493,10408,5009,33362,6560,60628,8804,27408,16163846,21192748,23357200,8378498,10490424,11171154,252011984,294423360,264801936,328081632,569388,465043,12057256,15810541,11467794,13713304
N-Acetyl-Serine_Pos,0,0,0,0,0,0,0,0,5235,0,0,3991,4690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7086364,6224533,6625155,0,0,0,0,0,0,0,0,0,0,0,0,181183,321426,489047,34133,92246,171285,6553471,13315194,7837804,14874554,0,0,86341,302422,30711,212358
N-methyltaurine_Pos,27438,26077,46169,32828,7537,46129,11632,0,31041,32806,49749,24036,22326,48867,36349,7469,0,14737,40452,25123,37421,26189,47789,18031,41557,21227,42109,176564,133603,184593,83397,52642,49615,97415,132042,85403,79627168,77662528,77266632,17234,35652,58083,16267,41184,84335,39050,15488,62852,29935,26103,38648,3631669,4364205,5807027,1954107,2200139,2835712,0,29731,2032182,3423016,102338080,148678912,97755440,148877168,2197702,3303774
Ophthalmic Acid_Pos,0,0,0,0,5804,0,11868,0,19447,18949,6003,0,0,0,6298,0,70476,0,21382,5871,64782,0,15549,25844,18190,0,14233,16645,7420,0,0,48865,347008,4416,0,0,51256596,52805944,50518888,17972926,19468488,17888406,0,0,0,0,5206,0,10690,0,0,3454792,4027463,4693728,1732517,2009624,2360141,73641456,93893880,74121064,98907808,8898,0,2103021,3036834,1973171,2605251
Ornithine_Pos,3557201,2196406,3472746,2744904,2543833,2481018,2160876,1656975,2065194,2244313,2596878,2647878,2147394,1628152,1564790,2977601,3279157,3354703,3188180,3586167,2869676,2163357,2075971,2603528,2634073,2259703,3299102,2166786,2069146,2452393,3400113,2413193,2906708,2228461,2314795,2491486,19837732,22002350,22337062,19165040,18068130,18033412,1464718,2168098,2040096,2496788,2098475,2377470,2225827,910648,2007298,5947816,5720041,5039561,3994485,3513974,3247795,40407760,45923228,43368632,51905808,4922320,1796123,6123899,3770547,9199713,3441549
PQS_Pos,4476239,4615885,4595152,1727804,2073014,3167735,54810,233972,838264,656407,941683,762826,34938,287147,47099,2832342,1943589,3861245,119706,271321,388756,155357,295118,461257,647949,1067270,577749,50153,68022,73605,216826,318749,217371,0,101147,127177,2531565,1265103,3608967,58287,137501,189571,0,0,0,13797,16233,113904,213471,47007,94830,938762,941274,842783,365042,408326,360018,50461152,31099942,39251172,10270498,6523,0,510147,407970,415989,513258
Proline_Pos,1403796,1346300,1769485,1572450,3445082,3112141,977373,1704569,1455531,2037089,3930742,4027583,1915634,3143534,1915316,28199582,31625750,21941750,5953322,11133984,10639604,3720474,5598951,4473233,4502513,4799779,5476067,103469,1091137,2453345,4860582,3264285,3848665,1426399,2448263,2595915,126535856,120116632,116859080,196351904,188290480,195352864,580945,803792,62641,1057331,1488333,991932,716403,388235,834210,22597900,30966018,27840876,12183774,15558551,13853022,198490464,215728864,206927904,239023456,344565,681696,15940684,20097252,15985506,16238467
Propionyl-L-carnitine_Pos,28931,48625,7096,27139,38569,33883,55567,36220,5713,34198,38099,52921,27039,29568,6190,62935,50474,63252,84540,89312,113165,51762,54698,38293,94869,26563,63161,88417,110143,121560,141604,110200,500559,29903,68522,43995,1007063616,1067408512,1104344192,28420324,32875090,48725572,111107,97725,68199,854144,732624,930579,63410,161743,65813,73690360,77331368,73257128,35791160,38969380,37522648,1844345600,2021841792,1821096448,2007679360,41199472,58725604,81468336,101267552,38025188,43792196
Riboflavin Monophosphate_Pos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7160,NA,NA,NA,0,0,0,0,0,0,0,0,0,41531960,38746028,41370968,0,0,7555,0,0,0,0,0,0,0,0,0,1517419,1093485,1067933,661708,565609,485058,13912,0,901615,1361644,64145104,78653624,56563272,77423240,729563,665869
Sarcosine_Pos,145728,161912,36398,474077,67043,133508,147012,89673,95154,220325,167658,41356,140723,7590,31575,510531,604885,428196,118122,115401,267432,618469,792835,852106,486128,310523,501599,121267,36056,7148,62618,49656,103244,88768,145249,132037,31887512,33493918,30203288,20974318,19609756,20225826,18858,77776,85085,246611,11379,39472,25795,107973,79032,3311840,3901109,4344929,1704679,1842285,2177450,90821,165424,2059622,2521227,45870580,61254456,49155932,67609624,1914022,2265292
Serine_Pos,646338,666396,696501,775086,1855451,1631562,494846,474973,789055,813572,2285850,2988001,1639993,2072500,995483,4515635,7649999,3936649,5144370,8101166,6474962,1062595,1277825,1279168,2549122,1407476,1765438,1084175,727089,1520792,3078678,2397380,2343061,354054,591801,1361528,13229404,13835628,13601759,14793534,15107340,16647055,115152,293733,437232,312716,304966,120282,71210,29300,135589,2902958,3203254,3188674,914701,1178842,1250325,18601558,24377988,18912160,27897880,106820,510050,2185832,2788004,2133504,2049822
Stachydrine hydrochloride_Pos,608385,1843365,1300445,101323,260885,479766,132366,1835381,761365,1040219,1343405,1993767,105459,81237,90625,7749240,7416006,6918055,492302,1746608,1428983,1126703,2020271,1678307,2955887,2315316,2460891,91992,18366,135237,357617,805864,777732,63402,338172,45144,281020512,271213920,267974016,196304800,216702992,196549328,272726,1683757,1466932,641245,605007,257625,204638,391049,120371,31579482,32688604,32756046,15187233,17385058,17007296,418169632,468042048,428952288,494688768,1534060,511932,18590468,21013224,15971701,19815976
Thiamine monophosphate_Pos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,38579576,48577252,50252460,86920,69894,23873,0,0,0,0,0,0,0,0,0,1215332,1305779,1216665,430726,516623,451797,60243476,78967760,54422924,77376680,76552,59154,1185255,1508050,432079,458944
Thiamine pyrophosphate_Pos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,5261144,5446626,5577208,0,0,0,0,0,0,0,0,0,0,0,0,111339,70402,8844,4664,0,0,9808568,9270628,7843102,8889869,77917,53125,168810,200052,8472,0
Threonine_Pos,306392,97067,171829,326283,276680,162841,144818,42730,313523,265423,244066,350618,130885,136015,50369,133394,241240,252400,31703,147134,165677,138321,110998,123030,833879,418355,681094,41688,139676,243393,59120,21745,212592,120732,104434,32775,45098236,44347380,43533028,28454998,27708346,27398514,837950,284478,71300,305349,128258,214542,142808,663215,45025,3876794,4305045,4803257,1711488,2553852,1980911,67521200,83507728,67832736,89255104,161886,35990,2800158,3590068,2297047,3029758
trans Hydroxyl proline_Pos,95839,60898,110940,69457,68401,124514,48297,60373,83795,20097,97734,47285,85909,70285,37687,106846,108249,86610,156228,38854,68287,154383,50954,143477,208889,458831,340579,58312,1441,12131,154190,43870,263939,91866,33397,158451,87694272,88745120,82849944,50580300,50969604,48388432,31956,15725,129356,17129,86868,115210,32059,146593,163114,6851399,8060511,8709516,3312781,3880552,4456825,140137824,173948912,136464192,178140272,137679,254353,4794356,5784372,4191702,5046555
Trigonelline_Pos,1611115,2355093,2677659,2578046,1867701,1674393,1893497,1667621,2779900,356736,2296168,1172765,987343,300894,1036824,38983824,31289628,33339078,2447768,5763791,5934156,5277081,8932684,7848948,6289983,7596008,6158276,687147,1344980,779958,1553519,1995862,874841,1905278,2707975,1903372,223228608,223366400,216571088,148853056,172412112,155143488,132680,240149,355381,1597974,1539008,2013142,74099,204407,192521,27044546,30203242,30111786,13191662,15080681,14802150,304435040,351911040,320410560,381193632,30711340,28583288,16441048,19860270,14850845,17151242
Trimethylamine_Pos,16967,NA,NA,NA,NA,NA,NA,NA,22375,NA,20617,NA,NA,32180,4748,12904,NA,NA,NA,NA,NA,NA,NA,41010,NA,NA,32087,45088,0,0,61021,52665,47962,68929,32127,55907,6507456,6706194,7143077,36331,67843,38396,399805,299305,301899,397618,356862,459979,284044,408342,583162,698642,614348,499240,436455,286884,247271,16145664,14918202,16437010,14586608,401378,16013,488463,307041,656641,287877
Trimethylamine N-oxide_Pos,1424160,1132206,1128344,1539323,1132496,1589914,1208282,1210252,1446214,1138920,1080474,993729,829150,615737,1157199,434063008,403748544,562661120,7272081,9124623,9161857,25966166,43247148,38066496,21369098,23221758,20177242,1203203,986730,1366069,1025128,1437033,1097424,883124,1216497,1151617,403459488,436981952,430797280,299407168,351198464,271262816,216976,468291,264164,4703859,2933888,4664000,649619,649069,778138,82024480,85544984,85803032,40431080,45060088,44973728,688032384,762036800,703292032,798149568,358011,438649,48756800,52434932,43349320,50339964
Tyrosine_Pos,174012,284546,425714,287135,548628,299755,177050,414035,588579,236138,307114,897898,323440,789721,396498,1649094,1361252,1089987,773853,1927951,1055340,347572,164732,384845,949355,662113,1160112,479784,37228,555056,1351115,1188300,2459588,238197,325162,411528,47948200,48998852,46639376,22712358,20415252,21263358,199294,250676,307075,2274976,2629352,2049445,1059170,1025944,1052757,4465839,4991775,5743484,2214941,2585871,3093511,69031408,97544496,68236048,100196928,109849,22323,2694253,2813164,2802078,3535671
Valine_Pos,363832,123389,531263,451918,1070739,1113886,286568,550240,392326,630759,198760,1335659,401082,1746950,793168,6011358,42490372,6175836,1642842,5606112,3513591,982501,4583540,462951,1818822,1191539,676170,372659,501024,813313,1256363,1301712,866668,1466499,2150702,884994,49344724,42173300,36188876,66542316,37104740,46506972,1533412,1574077,336661,1578573,512087,2430674,430545,1157583,NA,6354128,8238147,8123314,2456539,4843808,3656682,44191528,64849004,63232184,58808776,1246262,864623,4299916,9216675,3900213,5096320
Vitamin B3_Pos,159078,241653,235841,53914,373989,1632137,1262381,278200,208745,72316,84363,92503,631828,2707250,3514562,234181,4665278,57320,13657611,6171883,1007346,12719970,2039736,170179,875226,658486,5692012,16789822,56918500,9597055,46214232,14517667,723960,7100867,13429749,15386857,175699456,178553952,187273104,198718384,74853576,256688608,101462,627864,95618,445549,272335,75856,1209395,1855923,1628216,607881,22817408,33251602,10512986,457304,18115504,10051,50871,427986,19331610,397858,274629248,447674,285023520,741779,19639554
Dimethylsulfonioacetate (DMS-Ac)_Pos,0,0,0,0,0,6636,0,6060,0,0,6846,0,0,0,0,9388103,8628455,8777906,12254,0,11442,13965831,22220112,19532664,8667720,10308397,9687338,0,0,0,0,364867,12405,0,0,0,380438880,371661888,365452160,400588640,433206368,416986752,0,0,0,0,0,0,0,0,0,55505144,60379876,52725344,27036766,30691612,26547314,0,0,30352598,30987718,720011968,808736448,785593280,901353280,28942100,32633308
Gonyol_Pos,3866,22318,11625,73305,101617,162036,0,0,13876,836514,803898,777195,24481,24587,63782,1260172,1063635,1247954,921127,2078233,2046525,440468,857922,840113,2530225,3324228,2794214,0,0,4381,5346660,6867607,9200393,0,0,0,39079628,42961248,40773956,35401924,45086848,36153252,4539,0,0,114437,66874,114248,53701,98529,94296,5822613,6325302,5920218,2702447,3047084,2884685,0,0,3099087,3380999,79061296,123266176,96567416,126606648,2847819,3486129
Turicine_Pos,252370,417562,217038,125162,86349,479008,270928,596652,129721,301971,561963,211891,30883,224423,23742,3630631,2544792,3090857,503080,490834,490280,681990,1276176,768011,835310,958952,627597,331773,167303,180656,1179496,100795,516892,55410,123120,133551,1028207616,992094400,973735552,959965184,1090384768,979341888,266384,567250,310995,1446530,329020,192529,401833,335364,47654,134587792,143010416,125540760,63797904,73636296,62885116,241182,87084,70762664,72861504,1916505600,2314752768,2113186944,2514383616,67794520,77419248
Betonicine_Pos,311766,197585,217038,123627,64785,283734,330957,423467,203217,135499,481571,214664,28330,161408,360355,3630631,2842177,2705921,1084536,1009753,566826,554013,1134534,1166528,956701,802908,605163,331773,167303,180656,1179496,100795,516892,91910,123120,133551,1028207616,992094400,973735552,959965184,1090384768,979341888,266384,567250,310995,1446530,329020,192529,401833,335364,47654,134587792,143010416,125540760,63797904,73541232,62885116,68945,145788,70762664,72861504,1916505600,2314752768,2113186944,2514383616,67794520,77419248
Methylmalonyl carnitine_Pos,65955,85293,83453,38626,39351,83496,19080,38439,84116,65009,34365,45788,138296,106724,27678,77578,110480,125426,7412,28787,94774,19202,32811,24004,55604,18043,29711,126173,142426,22659,31641,145825,526752,6244,82695,113601,109054992,107717496,99340944,77102000,79829416,88836424,12670,79606,23152,234665,103791,89179,52840,32303,93849,40417444,43026364,43262164,19520820,21387828,21890048,32998,77528,21854934,23944822,828045440,1142667520,886802176,1231720320,21802566,25813152
Arsenobetaine_Pos,47902,174620,29850,13643,50340,34505,0,0,72067,0,0,19515,56828,11377,31149,1955464,1612009,1804554,14985,53186,17101,53905,15812,15323,68295,59762,14956,0,35746,0,46770,909424,276205,13107,46714,0,846936320,838114944,817900928,807718144,901693760,809713920,11464,0,0,42566,0,19371,14570,26191,20566,114620304,115199280,110786840,51635840,60892068,55712424,0,0,59027832,61362460,1709937152,2164176384,1837213952,2194609408,56040868,65675788
Hordenine_Pos,87779,324099,157356,72990,119827,232364,87170,314690,204120,262294,158784,62570,202263,41089,143426,223957,40005,257018,197736,20293,24821,125066,150299,39808,245358,144328,102722,24014,44292,5355,59970188,67314120,85938512,81115,123591,102607,612610496,675642112,756020096,90208064,95317280,65303928,50279,132705,58499,107145,62140,29826,931032,929754,1163037,57376576,58807860,58760504,26631228,30256730,28055954,99505,109548,33043958,33268374,1653972608,1962238336,1759724800,2075680256,30192140,33536720
4-Hydroxyisoleucine_Pos,79175,36652,42812,41812,17769,168874,74282,226108,379715,237938,155489,443982,152494,243980,42354,1223283,1155089,1122027,2160468,1919371,2279322,204593,569746,310440,894574,325313,604597,95940,15487,221132,4001331,1709136,1816755,56919,92798,142095,27151272,25917148,24222182,18578910,16435745,18567074,122992,76543,29277,153400,57124,486398,45713,92925,70622,3361742,4128561,5177030,1166511,1943115,2870324,383494,1600178,1941072,2833104,26448568,67633280,33842952,78913088,1748794,3434517
Deoxyadenosine_Pos,50800,90164,71545,39829,47307,86925,423002,63892,48098,45850,87002,539900,28278,36538,0,32431,35376,57679,0,6974,7785,12953,0,0,30295,20585,0,85997,0,233474,244716,141369,206233,0,0,0,295073120,309172992,302406048,7032,8881,20275,0,0,0,7795,0,0,6802,0,6224,18103084,21023468,23332500,8040739,10537164,11188435,0,0,10044282,12515340,588110784,897934912,649363072,982077440,9541968,13268487
beta-Alanine_Pos,1003247,842272,1018118,923165,986668,1070160,582632,539203,846232,1072836,1406065,1939076,583680,687801,674241,2013810,1719669,1748499,1431317,1790142,2149668,1279735,2106563,1886444,3267482,2706167,3143251,493321,609800,652545,878587,1013500,977213,424627,799651,656933,18708178,20096584,18275180,20846118,20882192,20219038,81005,137464,44890,264284,196886,179216,227391,94857,245611,3215479,3717303,3543922,1399539,1733588,1879354,95268,26528,2234001,2377532,34940464,46712108,38861860,50027872,1796767,1973522
Melamine_Pos,1370683,1131087,2498325,5967804,7484263,6888116,1665383,1730402,3524306,4063703,5200186,7038436,1471922,1851929,1782145,10193327,9085651,16823114,6389081,8946437,11904743,4113073,8966774,5956088,8516784,7957528,13955991,1417688,2741296,1333649,6808151,11243108,12622950,255135,1330562,1867720,310276448,326716320,334880992,253170144,287238848,250502000,1574062,921393,2275941,1393824,1370900,1596720,4353744,146376,2490096,38732280,44909880,46632484,18854964,23694648,24929776,1258964,2495451,20361930,24999100,681501312,987640768,740230784,1029679552,21390394,28260408
Acetylcholine_Pos,66776,29487,26204,63636,61243,23989,105462,60613,48679,42548,8158,53635,19189,29247,33642,64854,47524,52257,188816,76709,62081,72076,86652,39186,134705,47839,54645,64626,177468,237576,101224,32397,52845,307040,160275,42787,283336096,376501824,393784832,160084,281213,112910,73704,11329,30374,102952,32090,81062,325747,29136,21611,25161706,26444346,23080344,11411702,13982876,11583934,80523,31822,13202323,13253094,805191936,701250240,677891200,693869056,12290907,13722159
Cysteinesulfinic acid_Pos,0,0,0,0,0,0,0,0,0,0,0,3122,0,12555,0,12662,0,0,4550,7795,0,0,0,0,8050,0,7699,0,0,0,0,0,0,0,0,0,5669575,5520953,5280812,33417,43251,34391,0,0,0,0,0,0,0,0,0,284945,291659,302400,132692,137979,134752,0,13561,185666,213720,10798674,10943921,8035299,10891000,154331,174214
Hydroxyectoine_Pos,294248,225758,180782,98287,235740,187531,537366,138864,235007,272275,159927,366870,320073,449498,215767,331821,316654,297551,251442,918759,529466,691033,261780,167477,2352423,2525079,1729163,169839,1062401,349721,419495,368212,323765,188632,581587,889246,60157880,58880332,58287488,31446234,32184156,31652134,695186,209387,210062,261641,240308,55556,210228,281045,157585,5353278,5621252,6046006,2446693,3036907,3123028,135428,90146,3105686,3161964,78942024,95414888,83893336,102396696,2943187,3338096
Trimethylammonium Propionate (TMAP)_Pos,307423,87323,285244,106341,228169,551006,108894,100557,46217,295860,389771,313484,106648,226470,38089,4679681,4255983,4956806,699806,1238433,1309503,2226187,3597547,3201003,54574752,68711032,58179572,66038,56350,238935,278481,689294,419738,111366,184845,351391,789319680,826039296,815373824,620751104,715451456,603814400,368023,151905,325732,357688,35417,157923,189750,423885,12734,95561944,104532856,100817384,46919488,50068288,51942564,51277,434565,52257432,54851588,1327018624,1311088768,1122802944,1389355008,49640328,61542348
5-Methylcytosine_Pos,252062,263854,64241,172242,31898,363842,35768,246452,234647,109428,263008,71623,223593,298950,50273,32441,267334,147535,389502,503177,534559,84485,107547,319495,142292,253526,20001,20112,215632,1455,6238787,13807102,31453880,54001,98637,151860,614926272,666492928,666849536,214708000,255388800,200422816,74691,89408,280502,76117,79384,61495,278186,96109,45219,58489864,62346292,63613780,28548950,31614110,32547528,81157,68819,31470362,35885644,1096193152,1184833792,940750336,1226987904,31587382,38455960
6-Methyladenine_Pos,106074,176947,160910,53063,82296,22091,16655,116450,342397,92693,30943,125259,89879,97383,118431,59255,87313,98994,239109,311823,668560,121974,74634,99143,199084,147242,283401,88233,56287,87359,53098724,76161128,143688960,24153,230661,114127,954332928,1046516224,1095240448,228056208,265166400,215221568,20812,64538,122003,247266,282884,283536,417820,567269,838311,84493592,90392080,95696648,41051316,45937280,46506476,262639,187921,45669388,52523768,1951451008,1984803072,1626440960,2065779072,43434672,53228124
Carnosine_Pos,4944,13862,0,5675,26041,24657,40196,0,10670,5158,16788,0,0,0,47300,4881,5752,17088,6470,0,2403,4174,0,16591,5697,21160,37446,0,21882,4865,13416,81747,250511,107948,5332,0,65669084,76329640,79035768,23091588,24162682,21274004,0,44787,14026,0,0,14267,8395,11235,28087,3706512,4204131,4952048,1644241,1978107,2273454,12102,0,3044357,5080790,110020144,127901520,95754760,158651008,2288257,2683478
N-Acetylglucosamine_Pos,27852,0,21078,115403,16819,29663,95969,0,84015,132925,128410,106409,0,0,0,0,8158,0,77765,28378,0,0,133998,0,135399,47578,0,0,13549,76190,237926,436061,286360,6352,0,243929,13697228,13662953,11284506,27928,169482,325931,165347,0,95158,372306,52200,27683,165616,133404,62723,495613,456179,478187,167117,245624,232939,24098,54567,177969,195930,18065234,16123936,14183620,18962312,196065,264111
Trimethyl-L-lysine_Pos,0,2944,2661,0,3806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173889,523192,1562122,0,3025,0,90023072,120073320,132084648,18516582,18560778,9651017,0,0,0,0,0,0,0,0,0,8973351,9467279,9114069,4166990,4748088,4603599,0,0,5981360,6867405,286317632,292739264,224576064,310464256,4162417,5058990
beta-Glutamic acid_Pos,552914,219597,318463,1005192,610827,302337,340406,475012,625063,500413,635493,371230,713489,610351,392852,607645,367605,309606,344797,593514,608448,562674,575536,359005,1454246,760736,867911,380901,481974,1447943,1702124,1572328,1223700,99674,336712,1034393,19914920,19769502,18804378,14020769,14204477,14638780,357236,375651,390795,514338,32768,219553,222855,663200,486907,3200665,3772658,4260498,1621283,1901245,1838888,382140,309598,2418586,2971854,45090656,48980308,39641780,57387284,2704031,2929853
Anserine_Pos,11001,49023,46225,19392,45506,89074,0,29350,40733,0,8773,0,0,79071,189468,73221,87588,50312,0,0,0,0,8465,0,0,54200,0,75652,0,27170,0,0,569748,0,66628,4811,68349560,84040568,90409000,24958038,30600616,18643972,5370,5828,64718,13467,6560,68953,127907,18411,29767,4270705,5073121,6690604,2008276,2544802,3401829,202926,110508,3799473,4136383,147562928,194491680,114835000,229636976,2859206,4036077
N-Acetylmuramic acid_Pos,19203,22983,0,0,0,0,0,0,9756,7182,6488,14558,0,0,0,0,6689,5812,8188,8075,0,0,0,22562,0,0,6306,0,0,0,7021,35182,4823,6631,6678,6733,48571572,48713976,49774100,47137,0,11879,0,0,14770,245885,264571,348723,211859,230998,239376,2787278,2995091,3419603,1318727,1309763,1693167,0,0,1088322,1883321,89812464,88968760,63380800,92503624,1539191,2028643
Hypoxanthine_Pos,4632339,1132310,768232,272972,924267,627550,281709,263098,11016001,487956,1716422,1230417,874646,357764,5701950,7126579,5416052,5336370,6405165,12675104,15533020,668948,1141874,7507223,2041928,2474116,2101075,17896,NA,11425,9212,20386,48826,NA,19868,NA,9833611,126786,33022,194183,5593343,375806,171330,164921,148480,2501752,2521880,2637861,2477790,1652557,2209318,48112224,52522124,50162868,22994124,25740824,26128134,35655,49555,24317092,28751320,621916608,673691456,539431808,685956416,25395904,30088482
Succinylglycine_Pos,3499,3292,3592,0,0,0,0,0,0,0,0,4969,0,0,0,0,0,0,0,0,3399,0,0,3080,0,0,0,0,0,3629,0,3330,0,0,0,0,8267664,7721453,7253024,0,4515,0,0,0,0,0,0,0,0,0,0,387502,530883,474499,172575,245657,233987,10945522,12058812,11314332,11931826,0,0,264127,276267,227909,264461
Ergothioneine_Pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47961432,47858496,47048540,0,0,0,0,0,0,0,0,0,0,0,0,1373899,1323340,1239868,724820,760708,710955,80466192,74036096,82074480,81907472,0,0,1121356,1188115,810659,804573
Pyridinedicarboxylic acid_Pos,288746,137795,147267,113263,182961,142613,160202,125944,192174,118457,271921,122007,133644,82396,96539,156689,170823,118413,68777,102985,168697,128720,161408,372692,161002,125806,109801,112725,137310,46248,113834,62421,86793,64748,56248,137471,48104436,46547612,44789684,561751,532931,566724,63250,55614,35121,69711,63331,51598,210008,95792,188177,2889562,3544079,2973979,1487248,1835080,1589217,70846792,70788656,75876248,72034296,222780,132521,2285824,1898745,1710257,1776661
Glutamylphenylalanine_Pos,0,0,8070,0,0,0,11005,0,0,12469,0,0,47082,22301,0,77305,51311,69039,0,0,48790,16957,36470,15548,87286,59338,66145,0,0,0,755296,1794383,4572037,0,0,0,101581256,102926288,96110560,34929756,29890890,41428420,18222,0,0,442985,339268,153990,239709,118284,484032,7384701,8657645,9551972,3429667,4258237,5693404,129830672,175210112,135134144,191504384,0,0,5182417,6256438,4448427,6542886
Acetylglutamic acid_Pos,10463,4179,7327,6966,0,7225,0,5350,4425,9657,13192,0,3820,11269,0,13473,12090,0,3955,20236,27391,0,0,0,7534,755,4847,0,0,4148,4124,3396,0,0,0,1449,15383174,14679919,14221499,5733,0,4132,0,0,0,25872,16862,16210,5413,3857,5655,848939,966831,900651,394691,474714,179600,21105938,24497802,22240008,23830572,8379,0,511659,504216,448684,205573
(3-Carboxypropyl)trimethylammonium (TMAB)_Pos,153619,177926,234050,155154,213894,334109,86800,179653,57858,154405,314674,197777,157293,117106,59524,923077,786690,857221,262392,270009,147625,563234,534058,719264,1802639,2163733,1867806,90823,280812,130972,458775,815611,904659,257843,306688,163784,906921216,967718400,987465216,514100928,651520576,441318528,978869,163674,81947,801468,273435,218615,213662,395390,735257,92533184,100536680,98479808,42934728,50869588,46559364,1408646272,1656826880,1467870592,1682837632,225729,276786,55030536,58873288,45596612,56353096
