Compound,210322_Blk_Blank1_A,210322_Blk_Blank1_B,210322_Blk_Blank1_C,210322_Blk_Blank2_A,210322_Blk_Blank2_B,210322_Blk_Blank2_C,210322_Blk_Blank3_A,210322_Blk_Blank3_B,210322_Blk_Blank3_C,210322_Blk_Blank4_A,210322_Blk_Blank4_B,210322_Blk_Blank4_C,210322_Blk_Blank5_A,210322_Blk_Blank5_B,210322_Blk_Blank5_C,210322_Smp_Aloha_A,210322_Smp_Aloha_B,210322_Smp_Aloha_C,210322_Smp_LW_A,210322_Smp_LW_B,210322_Smp_LW_C,210322_Smp_NP_A,210322_Smp_NP_B,210322_Smp_NP_C,210322_Smp_PS_A,210322_Smp_PS_B,210322_Smp_PS_C,210322_Blk_Blank6_A,210322_Blk_Blank6_B,210322_Blk_Blank6_C,210322_Blk_Blank7_A,210322_Blk_Blank7_B,210322_Blk_Blank7_C,210322_Smp_C_1mL_NS_A,210322_Smp_C_1mL_NS_B,210322_Smp_C_1mL_NS_C,210322_Smp_C_1mL_SAf_A,210322_Smp_C_1mL_SAf_B,210322_Smp_C_1mL_SAf_C,210322_Smp_C_1mL_SBe_A,210322_Smp_C_1mL_SBe_B,210322_Smp_C_1mL_SBe_C,210322_Blk_PPL_Blank_A,210322_Blk_PPL_Blank_B,210322_Blk_PPL_Blank_C,210322_Smp_PPL_Aloha_A,210322_Smp_PPL_Aloha_B,210322_Smp_PPL_Aloha_C,210322_Smp_PPL_PS_A,210322_Smp_PPL_PS_B,210322_Smp_PPL_PS_C,210322_Poo_TruePoo_Full1,210322_Poo_TruePoo_Full2,210322_Poo_TruePoo_Full3,210322_Poo_TruePoo_Half1,210322_Poo_TruePoo_Half2,210322_Poo_TruePoo_Half3,210322_Std_4uMStdsMix1InH2O_1,210322_Std_4uMStdsMix1InH2O_2,210322_Std_4uMStdsMix1InMatrix_1,210322_Std_4uMStdsMix1InMatrix_2,210322_Std_4uMStdsMix2InH2O_1,210322_Std_4uMStdsMix2InH2O_2,210322_Std_4uMStdsMix2InMatrix_1,210322_Std_4uMStdsMix2InMatrix_2,210322_Std_H2OInMatrix_1,210322_Std_H2OInMatrix_2
Aspartic acid_Pos,521337,554168,818093,756283,689051,428269,88630,477891,646089,633838,606298,681371,602097,761735,183204,1220802,1575528,1105729,757223,1532888,1236328,549794,709779,328427,869742,918007,2293642,607551,570696,647795,806696,992455,988628,611549,718031,458098,7243084,7135493,7577279,7567884,7727752,7573383,407590,403262,156996,286212,754399,495874,610150,459090,224350,1685533,1862695,1858950,981967,1026010,1012548,10981950,12913423,11480885,13832685,195278,417051,1113525,1139275,1267715,977928
Betaine_Pos,19121960,15606481,31832778,12206930,24829350,15458595,5337723,7101798,9887331,14463184,83557808,20013936,4079938,6019548,6551031,168642864,159114960,158657904,5865045,23405618,25090880,93646776,153009424,134932880,240724512,298542240,260596160,7520747,5372531,10058647,22620222,20139350,15069284,20550884,31640282,30879802,1863968640,1813946112,1764809856,2010504960,2220710656,2011908864,4201703,491959,3708716,1202298,1555813,2206309,2856433,1063463,2482566,312345440,326642240,323218016,147456992,167290880,158838880,2786830080,3147760640,2828352768,3312874496,646900,764436,178480064,178768480,156331152,185690032
Butyryl-L-carnitine_Pos,82419,140693,28728,28435,37292,76605,8088,NA,17991,99509,62348,172562,26506,41366,66091,105512,74213,114107,19926,72800,20479,20648,7541,27088,72943,27872,24975,157608,145783,175857,1836970,4510683,16412569,148039,167783,97862,3459796736,3641564160,3789998592,512229632,601726400,596121792,42446,55057,48117,268020,261877,38633,309516,54024,145752,280837952,290113152,275269056,131895640,146164464,137949104,6293191168,6923817984,6398061568,6904410112,214534,263858,162328320,163490864,142474400,161991216
Carnitine_Pos,124860,578369,410032,639559,284878,676271,277878,150094,51018,155391,961455,193099,122994,547362,116622,8280793,7836088,7469360,1856920,4744607,4616431,1318565,2456527,1882880,5410541,7324034,5824863,145345,78081,549085,3270015,8039682,29683152,3584519,5764026,5563849,442828832,443142848,449160704,1983443456,2419459328,1867534464,75696,338796,188554,256169,270435,328456,440570,412784,722092,165516176,184250448,178450160,78935856,91161120,86853576,588265856,693406464,682841088,777374016,96377352,146540176,200593616,254504128,83391152,99484168
Chitobiose_Pos,199232,139326,155008,94008,51211,99768,104397,75105,284798,53101,143201,208748,40855,284786,196829,678123,250732,57146,325450,183484,307977,59539,127561,140261,157964,169516,96721,235117,222732,170320,120117,94600,44649,50463,250539,333222,27859442,26971256,27521034,279458,146601,83030,216641,196214,168598,209418,69804,339704,44086,19528,171664,2212287,1908900,1588248,663957,558603,618501,483554,342882,1461582,614805,32957150,47730656,33959812,49641036,972014,764507
Choline_Pos,139058,91294,29814,172920,100698,111231,90234,62177,109516,89132,61452,146152,122935,38850,66064,122873,68179,35375,288831,176212,168877,189859,67115,22261,168981,133288,40754,454466,576034,333150,804629,602583,534010,635891,414615,282389,630722432,752711744,724486464,408655,621555,389331,983427,644054,1016731,733223,549484,1013750,708975,971444,485812,52414976,53916608,44653104,23741144,27434598,23085600,1018215616,1111666688,1057933760,1137566976,190080192,170924960,187150976,200304416,24499760,26518984
Citrulline_Pos,697059,411875,762914,552948,789315,730774,747633,641475,388788,848978,1302227,1136061,564212,1756950,732135,1734631,1770007,1227448,1297546,2267208,1712631,302378,1009980,677295,934310,850552,993029,1191629,522374,823996,1509960,1458780,1194990,506440,1202012,1237030,35817344,36279384,35080788,23567496,22315732,24390974,48756,333391,810142,712287,428152,666986,281002,365984,458217,3784052,4416774,4519307,1726144,2100537,2435720,58306656,65875928,62307988,68723904,155493,312166,2524380,2903758,2581205,2826009
Creatine_Pos,254382,209395,277776,335106,422737,290852,288691,290505,279918,234418,604756,491588,201046,301192,193792,7159522,7173212,6542656,2324571,4868025,4807911,2294376,3724844,3511658,1340584,1582383,1616444,218287,195926,330992,771516,1266286,610379,141460,220162,290560,378665696,382449216,374048512,222128960,233833136,220562656,5016,105262,148412,265561,140691,416448,235778,107251,250149,34698584,38948372,38879852,17264480,19280730,19491704,576528512,641842304,584109952,686585344,166975,71355,22069356,24628316,18493130,22416626
Cys-Gly_Pos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6636,NA,NA,NA,NA,NA,NA,NA,NA
Cys-Gly oxidized_Pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20340464,22376500,22662616,441159,21483,48321,0,0,0,0,0,0,0,4696,0,975628,1073227,1328937,455362,533192,606403,33717068,50402964,37548928,60988588,5776,0,619199,886791,487149,729172
Cystathionine_Pos,0,897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3048,0,0,0,0,0,2951,0,0,0,0,0,12898552,14308350,13607216,1894545,691219,1087635,0,0,0,0,0,0,0,0,0,751831,779089,755205,286275,318075,312699,0,0,516935,621534,18516760,27305496,19529394,29607568,241283,403981
Cystine_Pos,91857,15255,41240,125248,19248,78387,20050,17937,20547,4304,3987,5495,3157,3634,3495,37889,42460,13271,11345,16204,9063,28801,8710,14503,9710,11674,17761,21995,24195,9526,8177,0,3562,23070,58386,36499,8304303,8183090,8670119,3608873,1300820,2723834,26824,0,0,13749,3773,8113,0,0,3934,611485,578078,640631,470325,322687,301975,12927057,16533315,11817111,17336604,401958,484786,500392,843410,581786,316636
Cytidine_Pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73153,60620,11642,125861,354809,576592,0,0,0,85503,112531,99235,0,0,0,243129,444855,1483577,10240,156382,159028,61989528,67037408,61570868,20005606,21073402,19539206,0,0,0,82718,80357,113810,133211,105860,97492,4903335,6179693,7596302,2334273,3012806,3551397,0,0,2919599,3717918,93648064,127707528,94334232,124773872,3330899,4058165
Cytosine_Pos,248359,189286,31184,106031,222364,401872,111740,119806,178502,218684,301563,365293,136900,198826,148920,611542,450496,767444,1380874,2467779,2726913,636450,1597657,2199661,2010231,3032781,2685437,175604,206534,164519,328408,2255307,2235356,171440,455630,425407,354114752,383118080,385554528,158356288,175584528,153595744,596763,477653,256901,301879,167085,270897,1101215,417127,854795,34161904,37098428,40495920,16223185,19140490,21058770,123941,80716,19365422,22794712,604954688,703731648,586745920,714999168,18990768,24167874
Dimethyl Glycine_Pos,1031834,3435635,1500974,775809,1992969,3021014,1007940,1060642,7074500,6327716,1645758,1439808,879797,2269860,680481,833436,622402,1545955,715903,3579419,660630,1772043,1909730,3757434,2598075,3380000,2533248,5357819,872427,284742,116227,448227,1669795,105197,230100,775157,143884832,158001600,144206576,119688032,120279872,122076488,3933704,9545254,8673195,1139629,6102931,3564719,145314,297350,3210809,18896194,21512932,44626676,10338123,13360031,28434290,254620720,300265312,268454784,336204064,2915716,1698550,12000836,28434444,12468105,32024278
DMSP_Pos,0,0,0,0,0,0,0,0,0,5276,5395,0,0,0,0,54319452,48742296,53409188,136515,201091,260472,77732000,121033104,106582616,31982692,38867632,32170416,0,0,0,11295,482142,74382,1974821,3005276,3392503,691290688,698100544,696508544,451566848,511952032,463139104,0,0,0,218217,86132,235076,57552,75956,77941,87004648,93645096,92354936,41446176,46600664,43770420,41010,62089,46768364,50771208,925084608,1224765824,1014749184,1265644544,44970248,51997252
Ectoine_Pos,471586,391464,395112,256520,729589,912311,192030,61672,382941,271194,2087344,999235,286762,521126,86216,1726388,1703042,1499734,136869,427991,169305,1350933,1552985,1255619,428614,514530,434091,378427,682268,903217,1042398,4685134,2005400,64650,825489,158541,3412316672,3424476416,3410148352,1843720960,2067945728,1879344256,84239,530127,518779,1134855,168892,87535,539720,181866,64353,361907392,395718880,372017376,180638928,190843840,196534912,1294038,2656902,204383808,208442864,4686640128,5446740992,4847093760,5734124544,191286384,231644336
Glucosamine_Pos,48737,32842,30760,24331,20296,32743,127549,13030,159402,203335,36930,77967,325586,0,40646,412298,278155,92444,138221,252310,227447,91412,134847,184364,137998,135392,356875,125760,108035,173890,12917,60434,84964,5098,92126,55848,36813784,38448716,36760768,22345302,22058828,22093786,71563,59184,89195,47413,57999,228486,164419,34296,165570,3245073,3880306,4382288,1507134,1917143,2337417,54005976,68209768,51614736,68417160,231108,257920,2265703,3150958,1851289,2424075
Glucosylglycerol_Pos,NA,NA,NA,NA,37042,NA,NA,NA,21339,NA,78866,NA,NA,15752,62421,7166,11920,NA,6912,9362,21272,NA,NA,NA,NA,NA,NA,0,0,13383,0,0,0,0,0,0,3846632,3752712,3744492,0,0,0,0,0,0,0,0,7738,0,0,5917,140079,195608,232661,22954,62684,80399,0,0,118589,52560,4692824,6666583,4805541,6875069,58835,108655
Glutamic acid_Pos,960586,799947,756002,966834,847833,819571,266569,453943,448362,926191,1032265,1032661,866497,339873,564156,7099055,6139858,6177467,1974720,2580623,2798850,1723338,1525339,2117577,2687035,2623406,2700405,69486,481974,1447943,1702124,1572328,1223700,368888,936353,1010890,19914920,19769502,18804378,14020769,14204477,14638780,357236,112633,390795,514338,1341201,539473,489288,461590,526118,3838775,4605317,4769160,2052132,2635087,2428249,30020700,36295520,30368094,37897552,891614,176262,2826962,2580027,2704031,2929853
Glutamine_Pos,22690,12892,52961,28375,204778,55056,84252,77225,72865,74964,103182,188887,22726,87053,69121,4664820,3957024,3984704,957213,1740269,1586444,396339,929214,549558,2465370,2654058,2657606,448569,130718,132681,529856,713981,773747,267073,598536,276648,65821480,66993232,62021156,84398296,85072816,82878904,250058,250150,238587,223054,281649,297397,45362,216874,236172,8359966,9490607,9930846,4300864,4600155,5213103,125083168,136489312,120947128,145619216,68191,159966,5616456,7083615,4987774,6129415
Glutathione_Pos,NA,NA,NA,NA,NA,NA,4619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,9532174,10102784,9102566,0,7600,0,0,0,0,0,0,0,0,0,0,18987,3879,0,0,0,3882,11318637,21512672,13692306,21593456,242934,998447,616491,1393356,0,4724
Glutathione Disulfide_Pos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,4288,0,0,0,0,0,6887482,7195219,6810030,4044,0,0,0,0,0,0,0,0,0,0,0,349223,324308,320075,149561,177086,121519,177284,159724,492596,522654,10607717,12320551,10465766,12012823,149860,182826
Glycerophosphocholine_Pos,NA,NA,12334,5303,4984,50512,9520,11730,6757,6354,5505,52500,61558,NA,5877,103757,6318,98907,NA,NA,18371,49333,19543,15846,130633,146326,145614,9312,4313,29138,31182,30456,43749,15077,10203,5344,95807792,95574912,90886608,7550545,7314336,5767046,12312,8521,0,35367,21448,15095,14923,5748,45047,3839667,4148025,4309581,1868749,2008930,2078465,183947728,154428960,181629648,182452880,0,4653,2569181,3219304,2000342,2482371
Glycine_Pos,984176,1054882,880594,742878,948517,917675,500115,631783,652811,459256,930095,1589399,548226,759088,376806,2461828,2742858,2556642,1658341,2177383,1805070,631709,1145603,1087810,1755319,1796219,2733933,576008,442279,555033,616967,649505,635911,309827,419158,430765,2529644,2519856,2568922,2809537,2970911,3671413,90658,155060,90804,149932,81981,91116,127533,20363,49467,972569,1247456,1211013,511695,742192,679202,3214409,3936273,3813073,4481629,236888,84002,627601,956780,648432,894076
Guanine_Pos,913039,831105,747029,396652,476448,594670,140469,245540,636405,182592,398264,601329,315781,364504,443990,1650340,1293859,1343652,1542631,3493522,3442889,439792,861325,1183677,2235955,1936792,1819257,178933,35977,61480,1262862,2433177,8363542,29112,274479,176311,89966416,93522808,95096656,63962952,64959040,65983736,131367,164982,218929,676170,530929,618616,1561120,1184482,1841612,11983776,11143410,13359208,5459543,5509404,6823698,155651,49362,6087314,7306798,137929216,168979360,133346320,167417360,6029974,7694726
Guanosine_Pos,65656,176091,112628,8376,31203,0,0,0,0,0,0,0,0,0,0,0,0,0,37211,92308,142167,NA,0,0,146000,89323,8069,0,0,0,285410,516543,1418374,0,0,0,48582396,46195400,46543084,7242472,8158795,7593677,0,0,0,0,22174,8999,215020,172341,247225,3961846,4962825,3668973,2108948,2103683,1940766,0,0,1908941,2195965,82300408,90657968,84229744,97181488,2305087,2223886
Histidine_Pos,561844,532461,1321036,1182740,1682728,2112487,745079,1287926,666878,962824,3514802,4637628,256255,2261192,272475,4423476,2685565,3977024,6507065,6724905,6024395,1919653,966560,1896408,2276499,1709292,6079395,2169586,1597501,3971543,6760117,6790502,5495371,183728,3770353,4569387,176058256,199701456,192898832,110355496,96979992,107487504,2172890,808943,887159,1002067,3014851,1112933,2326551,2132067,2449645,18764884,19081874,19381272,5505065,10188342,9725330,315027424,427367296,316895392,451051744,2750256,2867181,13978772,18879288,8435982,12541942
Homarine_Pos,37351,382770,28719,23029,105752,713520,69105,68466,110404,40763,210287,26843,120392,60345,75077,103556496,93229776,95537488,3846864,6430063,6903652,23262468,36700512,30110544,52072052,67072392,55494532,55377,38624,50560,52223,78279,14256,100517,58540,78916,74305248,73066888,72175448,39725328,43277088,40589260,61976,39087,110145,6062874,5169631,6306368,3203487,1646866,2422138,19075900,20541524,19895636,9156538,10539717,9964961,1635,266299,10789721,11999442,100588480,124796408,115145856,137604272,10656785,11998904
Homocysteine Thiolactone_Pos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,17064674,18173328,18351364,13294,0,0,0,0,0,0,0,0,0,4949,0,812657,977517,1120121,364663,502100,521901,27861582,37349764,28812102,38198556,47452,44568,517423,699471,448407,642821
Homocystine_Pos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4110,0,0,0,0,0,0,0,0,0,9096876,9636171,9906802,1557968,0,1101038,0,0,0,3343,0,3844,5061,0,0,424337,481487,483326,140500,183580,174836,13607695,19032562,14421357,19940992,889456,1468355,2501467,2568921,165096,180196
Homoserine_Pos,153341,195612,224761,219421,268349,212093,104754,98030,62549,418560,288869,268722,130885,140927,36739,147942,167302,355795,154055,183789,233268,107254,99865,252742,871840,555944,442957,37444,136110,274121,126353,169450,174415,143168,349148,208761,45098236,44347380,43533028,28454998,27708346,27398514,837950,187896,71300,305349,269933,66891,142808,663215,299269,3876794,4305045,4771043,1733648,1982509,1720469,68685312,85559016,67832736,89255104,491794,1201601,2853534,3757108,2297047,3039578
Hydroxylysine_Pos,0,0,0,0,0,2693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5110932,5606710,6059142,4041768,4158070,4000002,0,0,0,0,0,0,0,0,0,501027,587671,496588,144646,184770,158555,19342482,20825020,18565062,21306048,131463,112890,383852,274086,173127,234827
Hypotaurine_Pos,3732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172382,166843,84396,95427,NA,NA
Isoleucine_Pos,397398,216962,774330,852188,574971,746541,250813,558295,88508,119502,1179975,1808293,97860,1543710,57908,22395314,21697678,16389663,4235648,9463333,6924083,2111938,3136358,2546280,6625696,6908253,7011312,763282,995407,1492652,3821107,2555478,1055469,571321,673385,160901,52456512,52556668,53230044,41608928,38537564,40023624,356569,241613,93788,27930816,25238144,27225778,7321249,7589634,6902117,16359836,21548160,21410864,7468346,11183206,12261643,212871360,296237920,212037072,316493472,208763,329584,10752025,14406307,10187306,13973076
Leucine_Pos,1082724,759963,676396,385001,1096733,836940,406475,533122,373005,779140,1407513,1944561,523055,1291509,338935,13221749,12286534,10048631,2473186,5588266,4054224,814922,1655460,1401314,4419282,4925106,5370207,826713,73652,764593,2523484,2072109,1572279,283821,335217,1386074,71887248,77986368,71279144,58709364,60358744,66695432,217478,200108,259010,19191748,17608838,16529518,5648388,6378525,6536784,9709973,11215748,12627585,4400431,4850032,5982046,102026944,159771824,106951312,170021392,203355,431333,6440825,8952699,5766319,7878945
L-Pyroglutamic acid_Pos,51258,57078,55146,471243,574391,786218,10443,25872,574332,351649,570267,640529,17039,NA,5186,82316,14735,8797,39583,74341,25615,NA,16052,15004,87553,161878,235249,7880,11105,7572,14698,16111,58013,7406,8341,17919,390068,547138,487216,41420,136396,66687,23850,10380,6438,17788,14252,12406,18204,17100,18771,21487,14482,43019,NA,14992,25680,192142,155642,170414,189224,NA,NA,15861,35753,67984,65328
Lysine_Pos,427109,421161,470727,342964,336972,243691,243575,235242,206006,200735,267089,300526,109242,46516,206878,507218,506597,614309,244544,352619,180186,256261,241702,320569,440735,275838,546941,129947,160944,231383,352667,296152,322159,230959,193810,237327,6362750,6367928,6987801,6645173,6306421,6384676,31586,149884,177547,239699,240546,207829,188953,40243,157758,1495057,1369941,1079855,850106,828249,573951,15943966,14819516,16156142,15698586,766961,248188,1238812,828305,1457037,656295
