Compound,Rep,sample,EE.adjust.conc,C,N,Nmol.C,Nmol.N
Resorcylic Acid,210322_Smp_PPL_PS_C,PS,0.05062666249716407,7,NA,0.3543866374801485,NA
Salicylic Acid,210322_Smp_PPL_Aloha_A,Aloha,0.22724863784689084,7,NA,1.590740464928236,NA
Salicylic Acid,210322_Smp_PPL_Aloha_B,Aloha,0.22967137354393158,7,NA,1.607699614807521,NA
Salicylic Acid,210322_Smp_PPL_Aloha_C,Aloha,0.23760996301771456,7,NA,1.6632697411240018,NA
Salicylic Acid,210322_Smp_PPL_PS_A,PS,0.24973285881753968,7,NA,1.7481300117227778,NA
Salicylic Acid,210322_Smp_PPL_PS_B,PS,0.22825438867693248,7,NA,1.5977807207385273,NA
Salicylic Acid,210322_Smp_PPL_PS_C,PS,0.3321381331180995,7,NA,2.3249669318266966,NA
Tyrosine,210322_Smp_PPL_Aloha_A,Aloha,2.335761514412086,9,1,21.021853629708772,2.335761514412086
Tyrosine,210322_Smp_PPL_Aloha_B,Aloha,2.6766353971716828,9,1,24.089718574545145,2.6766353971716828
Tyrosine,210322_Smp_PPL_Aloha_C,Aloha,2.15984791369201,9,1,19.438631223228093,2.15984791369201
Tyrosine,210322_Smp_PPL_PS_A,PS,1.079748178331495,9,1,9.717733604983456,1.079748178331495
Tyrosine,210322_Smp_PPL_PS_B,PS,1.049255635965629,9,1,9.443300723690662,1.049255635965629
Tyrosine,210322_Smp_PPL_PS_C,PS,1.0468126498606158,9,1,9.421313848745543,1.0468126498606158
