MF,FinalBMIS,Orig_RSD,FinalRSD,SampID,runDate,type,samp,replicate,Area,Adjusted_Area
1-stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,"Pyridoxal, D3",0.22362135156496046,0.06815177668860184,210329_Smp_PS_B,210329,Smp,PS,B,NA,NA
1-stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,"Pyridoxal, D3",0.22362135156496046,0.06815177668860184,210329_Smp_PS_C,210329,Smp,PS,C,NA,NA
"2,4 decadienal",Inj_vol,0.2958411704646499,0.2958411704646499,210329_Poo_TruePoo_Full1,210329,Poo,TruePoo,Full1,71144,71144
"2,4 decadienal",Inj_vol,0.2958411704646499,0.2958411704646499,210329_Poo_TruePoo_Full2,210329,Poo,TruePoo,Full2,67788,67788
"2,4 decadienal",Inj_vol,0.2958411704646499,0.2958411704646499,210329_Poo_TruePoo_Full3,210329,Poo,TruePoo,Full3,59977,59977
"2,4 decadienal",Inj_vol,0.2958411704646499,0.2958411704646499,210329_Poo_TruePoo_Half1,210329,Poo,TruePoo,Half1,16263,32526
"2,4 decadienal",Inj_vol,0.2958411704646499,0.2958411704646499,210329_Poo_TruePoo_Half2,210329,Poo,TruePoo,Half2,38339,76678
"2,4 decadienal",Inj_vol,0.2958411704646499,0.2958411704646499,210329_Poo_TruePoo_Half3,210329,Poo,TruePoo,Half3,21438,42876
"2,4 decadienal",Inj_vol,0.2958411704646499,0.2958411704646499,210329_Smp_Aloha_A,210329,Smp,Aloha,A,118057,118057
"2,4 decadienal",Inj_vol,0.2958411704646499,0.2958411704646499,210329_Smp_Aloha_B,210329,Smp,Aloha,B,132175,132175
"2,4 decadienal",Inj_vol,0.2958411704646499,0.2958411704646499,210329_Smp_Aloha_C,210329,Smp,Aloha,C,17674,17674
"2,4 decadienal",Inj_vol,0.2958411704646499,0.2958411704646499,210329_Smp_Mort_Test_A,210329,Smp,Mort,Test,24387,24387
"2,4 decadienal",Inj_vol,0.2958411704646499,0.2958411704646499,210329_Smp_Mort_Test_B,210329,Smp,Mort,Test,27745,27745
"2,4 decadienal",Inj_vol,0.2958411704646499,0.2958411704646499,210329_Smp_PS_A,210329,Smp,PS,A,67532,67532
"2,4 decadienal",Inj_vol,0.2958411704646499,0.2958411704646499,210329_Smp_PS_B,210329,Smp,PS,B,22198,22198
"2,4 decadienal",Inj_vol,0.2958411704646499,0.2958411704646499,210329_Smp_PS_C,210329,Smp,PS,C,30801,30801
"2,4 octadienal",Inj_vol,0.5136823160792942,0.5136823160792942,210329_Poo_TruePoo_Full1,210329,Poo,TruePoo,Full1,51323,51323
"2,4 octadienal",Inj_vol,0.5136823160792942,0.5136823160792942,210329_Poo_TruePoo_Full2,210329,Poo,TruePoo,Full2,39466,39466
"2,4 octadienal",Inj_vol,0.5136823160792942,0.5136823160792942,210329_Poo_TruePoo_Full3,210329,Poo,TruePoo,Full3,26798,26798
"2,4 octadienal",Inj_vol,0.5136823160792942,0.5136823160792942,210329_Poo_TruePoo_Half1,210329,Poo,TruePoo,Half1,15373,30745.999999999996
"2,4 octadienal",Inj_vol,0.5136823160792942,0.5136823160792942,210329_Poo_TruePoo_Half2,210329,Poo,TruePoo,Half2,21469,42938
"2,4 octadienal",Inj_vol,0.5136823160792942,0.5136823160792942,210329_Poo_TruePoo_Half3,210329,Poo,TruePoo,Half3,47076,94152
"2,4 octadienal",Inj_vol,0.5136823160792942,0.5136823160792942,210329_Smp_Aloha_A,210329,Smp,Aloha,A,38368,38368
"2,4 octadienal",Inj_vol,0.5136823160792942,0.5136823160792942,210329_Smp_Aloha_B,210329,Smp,Aloha,B,40350,40350
"2,4 octadienal",Inj_vol,0.5136823160792942,0.5136823160792942,210329_Smp_Aloha_C,210329,Smp,Aloha,C,11841,11841
"2,4 octadienal",Inj_vol,0.5136823160792942,0.5136823160792942,210329_Smp_Mort_Test_A,210329,Smp,Mort,Test,64539,64539.00000000001
"2,4 octadienal",Inj_vol,0.5136823160792942,0.5136823160792942,210329_Smp_Mort_Test_B,210329,Smp,Mort,Test,24797,24797
"2,4 octadienal",Inj_vol,0.5136823160792942,0.5136823160792942,210329_Smp_PS_A,210329,Smp,PS,A,15651,15651.000000000002
"2,4 octadienal",Inj_vol,0.5136823160792942,0.5136823160792942,210329_Smp_PS_B,210329,Smp,PS,B,26547,26547
"2,4 octadienal",Inj_vol,0.5136823160792942,0.5136823160792942,210329_Smp_PS_C,210329,Smp,PS,C,21328,21328
3 Indolebutyric Acid,Inj_vol,0.492952128088977,0.492952128088977,210329_Poo_TruePoo_Full1,210329,Poo,TruePoo,Full1,540666,540666
3 Indolebutyric Acid,Inj_vol,0.492952128088977,0.492952128088977,210329_Poo_TruePoo_Full2,210329,Poo,TruePoo,Full2,573810,573810
3 Indolebutyric Acid,Inj_vol,0.492952128088977,0.492952128088977,210329_Poo_TruePoo_Full3,210329,Poo,TruePoo,Full3,2193,2193
3 Indolebutyric Acid,Inj_vol,0.492952128088977,0.492952128088977,210329_Poo_TruePoo_Half1,210329,Poo,TruePoo,Half1,268564,537128
3 Indolebutyric Acid,Inj_vol,0.492952128088977,0.492952128088977,210329_Poo_TruePoo_Half2,210329,Poo,TruePoo,Half2,256215,512430
3 Indolebutyric Acid,Inj_vol,0.492952128088977,0.492952128088977,210329_Poo_TruePoo_Half3,210329,Poo,TruePoo,Half3,238310,476620
3 Indolebutyric Acid,Inj_vol,0.492952128088977,0.492952128088977,210329_Smp_Aloha_A,210329,Smp,Aloha,A,177509,177509
3 Indolebutyric Acid,Inj_vol,0.492952128088977,0.492952128088977,210329_Smp_Aloha_B,210329,Smp,Aloha,B,118224,118224
3 Indolebutyric Acid,Inj_vol,0.492952128088977,0.492952128088977,210329_Smp_Aloha_C,210329,Smp,Aloha,C,168404,168404
3 Indolebutyric Acid,Inj_vol,0.492952128088977,0.492952128088977,210329_Smp_Mort_Test_A,210329,Smp,Mort,Test,361187,361187
3 Indolebutyric Acid,Inj_vol,0.492952128088977,0.492952128088977,210329_Smp_Mort_Test_B,210329,Smp,Mort,Test,340672,340672
3 Indolebutyric Acid,Inj_vol,0.492952128088977,0.492952128088977,210329_Smp_PS_A,210329,Smp,PS,A,57747,57747
3 Indolebutyric Acid,Inj_vol,0.492952128088977,0.492952128088977,210329_Smp_PS_B,210329,Smp,PS,B,2284,2284
3 Indolebutyric Acid,Inj_vol,0.492952128088977,0.492952128088977,210329_Smp_PS_C,210329,Smp,PS,C,48091,48091
3 Indolepropionic Acid,"Indole 3 Acetic Acid, D5",0.16075507211578088,0.10545354304266176,210329_Poo_TruePoo_Full1,210329,Poo,TruePoo,Full1,183340,269709.6535035929
3 Indolepropionic Acid,"Indole 3 Acetic Acid, D5",0.16075507211578088,0.10545354304266176,210329_Poo_TruePoo_Full2,210329,Poo,TruePoo,Full2,239196,265272.5391792041
3 Indolepropionic Acid,"Indole 3 Acetic Acid, D5",0.16075507211578088,0.10545354304266176,210329_Poo_TruePoo_Full3,210329,Poo,TruePoo,Full3,182226,240480.6683318702
3 Indolepropionic Acid,"Indole 3 Acetic Acid, D5",0.16075507211578088,0.10545354304266176,210329_Poo_TruePoo_Half1,210329,Poo,TruePoo,Half1,76181,226834.0224870178
3 Indolepropionic Acid,"Indole 3 Acetic Acid, D5",0.16075507211578088,0.10545354304266176,210329_Poo_TruePoo_Half2,210329,Poo,TruePoo,Half2,99642,214513.45873007993
3 Indolepropionic Acid,"Indole 3 Acetic Acid, D5",0.16075507211578088,0.10545354304266176,210329_Poo_TruePoo_Half3,210329,Poo,TruePoo,Half3,83308,211206.97298535221
3 Indolepropionic Acid,"Indole 3 Acetic Acid, D5",0.16075507211578088,0.10545354304266176,210329_Smp_Aloha_A,210329,Smp,Aloha,A,79896,64770.67076513206
3 Indolepropionic Acid,"Indole 3 Acetic Acid, D5",0.16075507211578088,0.10545354304266176,210329_Smp_Aloha_B,210329,Smp,Aloha,B,40274,32923.88142493653
3 Indolepropionic Acid,"Indole 3 Acetic Acid, D5",0.16075507211578088,0.10545354304266176,210329_Smp_Aloha_C,210329,Smp,Aloha,C,88453,69807.60647809457
3 Indolepropionic Acid,"Indole 3 Acetic Acid, D5",0.16075507211578088,0.10545354304266176,210329_Smp_Mort_Test_A,210329,Smp,Mort,Test,31376,28525.01183707713
3 Indolepropionic Acid,"Indole 3 Acetic Acid, D5",0.16075507211578088,0.10545354304266176,210329_Smp_Mort_Test_B,210329,Smp,Mort,Test,49116,45667.56035272407
3 Indolepropionic Acid,"Indole 3 Acetic Acid, D5",0.16075507211578088,0.10545354304266176,210329_Smp_PS_A,210329,Smp,PS,A,42268,28784.69826681658
3 Indolepropionic Acid,"Indole 3 Acetic Acid, D5",0.16075507211578088,0.10545354304266176,210329_Smp_PS_B,210329,Smp,PS,B,36386,23474.5360388017
3 Indolepropionic Acid,"Indole 3 Acetic Acid, D5",0.16075507211578088,0.10545354304266176,210329_Smp_PS_C,210329,Smp,PS,C,47147,30452.21305669475
3-Indoleacetonitrile,Inj_vol,0.9489396329910381,0.9489396329910381,210329_Poo_TruePoo_Full1,210329,Poo,TruePoo,Full1,2322,2322
3-Indoleacetonitrile,Inj_vol,0.9489396329910381,0.9489396329910381,210329_Poo_TruePoo_Full2,210329,Poo,TruePoo,Full2,24122,24122
3-Indoleacetonitrile,Inj_vol,0.9489396329910381,0.9489396329910381,210329_Poo_TruePoo_Full3,210329,Poo,TruePoo,Full3,7083,7083
3-Indoleacetonitrile,Inj_vol,0.9489396329910381,0.9489396329910381,210329_Poo_TruePoo_Half1,210329,Poo,TruePoo,Half1,2559,5118
3-Indoleacetonitrile,Inj_vol,0.9489396329910381,0.9489396329910381,210329_Poo_TruePoo_Half2,210329,Poo,TruePoo,Half2,3468,6936
3-Indoleacetonitrile,Inj_vol,0.9489396329910381,0.9489396329910381,210329_Poo_TruePoo_Half3,210329,Poo,TruePoo,Half3,2257,4514
3-Indoleacetonitrile,Inj_vol,0.9489396329910381,0.9489396329910381,210329_Smp_Aloha_A,210329,Smp,Aloha,A,7146,7146
3-Indoleacetonitrile,Inj_vol,0.9489396329910381,0.9489396329910381,210329_Smp_Aloha_B,210329,Smp,Aloha,B,15077,15077
3-Indoleacetonitrile,Inj_vol,0.9489396329910381,0.9489396329910381,210329_Smp_Aloha_C,210329,Smp,Aloha,C,2052,2052
3-Indoleacetonitrile,Inj_vol,0.9489396329910381,0.9489396329910381,210329_Smp_Mort_Test_A,210329,Smp,Mort,Test,2647,2647
3-Indoleacetonitrile,Inj_vol,0.9489396329910381,0.9489396329910381,210329_Smp_Mort_Test_B,210329,Smp,Mort,Test,2773,2773
3-Indoleacetonitrile,Inj_vol,0.9489396329910381,0.9489396329910381,210329_Smp_PS_A,210329,Smp,PS,A,36750,36750
3-Indoleacetonitrile,Inj_vol,0.9489396329910381,0.9489396329910381,210329_Smp_PS_B,210329,Smp,PS,B,39722,39722
3-Indoleacetonitrile,Inj_vol,0.9489396329910381,0.9489396329910381,210329_Smp_PS_C,210329,Smp,PS,C,17035,17035
3OC10-HSL,Inj_vol,0.2440472416212988,0.2440472416212988,210329_Poo_TruePoo_Full1,210329,Poo,TruePoo,Full1,45690,45690
3OC10-HSL,Inj_vol,0.2440472416212988,0.2440472416212988,210329_Poo_TruePoo_Full2,210329,Poo,TruePoo,Full2,37865,37865
3OC10-HSL,Inj_vol,0.2440472416212988,0.2440472416212988,210329_Poo_TruePoo_Full3,210329,Poo,TruePoo,Full3,33722,33722
3OC10-HSL,Inj_vol,0.2440472416212988,0.2440472416212988,210329_Poo_TruePoo_Half1,210329,Poo,TruePoo,Half1,25204,50408
3OC10-HSL,Inj_vol,0.2440472416212988,0.2440472416212988,210329_Poo_TruePoo_Half2,210329,Poo,TruePoo,Half2,13666,27332
3OC10-HSL,Inj_vol,0.2440472416212988,0.2440472416212988,210329_Poo_TruePoo_Half3,210329,Poo,TruePoo,Half3,14711,29422
3OC10-HSL,Inj_vol,0.2440472416212988,0.2440472416212988,210329_Smp_Aloha_A,210329,Smp,Aloha,A,NA,NA
3OC10-HSL,Inj_vol,0.2440472416212988,0.2440472416212988,210329_Smp_Aloha_B,210329,Smp,Aloha,B,NA,NA
3OC10-HSL,Inj_vol,0.2440472416212988,0.2440472416212988,210329_Smp_Aloha_C,210329,Smp,Aloha,C,NA,NA
3OC10-HSL,Inj_vol,0.2440472416212988,0.2440472416212988,210329_Smp_Mort_Test_A,210329,Smp,Mort,Test,NA,NA
3OC10-HSL,Inj_vol,0.2440472416212988,0.2440472416212988,210329_Smp_Mort_Test_B,210329,Smp,Mort,Test,8545,8545
