MF,FinalBMIS,Orig_RSD,FinalRSD,SampID,runDate,type,samp,replicate,Area,Adjusted_Area
Creatine_Pos,Inj_vol,0.05850005741539759,0.05850005741539759,210322_Poo_TruePoo_Full1,210322,Poo,TruePoo,Full1,34698584,34698584
Creatine_Pos,Inj_vol,0.05850005741539759,0.05850005741539759,210322_Poo_TruePoo_Full2,210322,Poo,TruePoo,Full2,38948372,38948372
Creatine_Pos,Inj_vol,0.05850005741539759,0.05850005741539759,210322_Poo_TruePoo_Full3,210322,Poo,TruePoo,Full3,38879852,38879852
Creatine_Pos,Inj_vol,0.05850005741539759,0.05850005741539759,210322_Poo_TruePoo_Half1,210322,Poo,TruePoo,Half1,17264480,34528960
Creatine_Pos,Inj_vol,0.05850005741539759,0.05850005741539759,210322_Poo_TruePoo_Half2,210322,Poo,TruePoo,Half2,19280730,38561460
Creatine_Pos,Inj_vol,0.05850005741539759,0.05850005741539759,210322_Poo_TruePoo_Half3,210322,Poo,TruePoo,Half3,19491704,38983408
Cyclic diGMP_Neg,Inj_vol,0.751746335404288,0.751746335404288,210322_Blk_PPL_Blank_A,210322,Blk,PPL,Blank,0,0
Cyclic diGMP_Neg,Inj_vol,0.751746335404288,0.751746335404288,210322_Blk_PPL_Blank_B,210322,Blk,PPL,Blank,0,0
Cyclic diGMP_Neg,Inj_vol,0.751746335404288,0.751746335404288,210322_Blk_PPL_Blank_C,210322,Blk,PPL,Blank,0,0
Cyclic diGMP_Neg,Inj_vol,0.751746335404288,0.751746335404288,210322_Smp_PPL_Aloha_A,210322,Smp,PPL,Aloha,0,0
Cyclic diGMP_Neg,Inj_vol,0.751746335404288,0.751746335404288,210322_Smp_PPL_Aloha_B,210322,Smp,PPL,Aloha,0,0
Cyclic diGMP_Neg,Inj_vol,0.751746335404288,0.751746335404288,210322_Smp_PPL_Aloha_C,210322,Smp,PPL,Aloha,0,0
Cyclic diGMP_Neg,Inj_vol,0.751746335404288,0.751746335404288,210322_Smp_PPL_PS_A,210322,Smp,PPL,PS,0,0
Cyclic diGMP_Neg,Inj_vol,0.751746335404288,0.751746335404288,210322_Smp_PPL_PS_B,210322,Smp,PPL,PS,0,0
Cyclic diGMP_Neg,Inj_vol,0.751746335404288,0.751746335404288,210322_Smp_PPL_PS_C,210322,Smp,PPL,PS,0,0
Cyclic diGMP_Neg,Inj_vol,0.751746335404288,0.751746335404288,210322_Poo_TruePoo_Full1,210322,Poo,TruePoo,Full1,381848,381848
Cyclic diGMP_Neg,Inj_vol,0.751746335404288,0.751746335404288,210322_Poo_TruePoo_Full2,210322,Poo,TruePoo,Full2,269121,269121
Cyclic diGMP_Neg,Inj_vol,0.751746335404288,0.751746335404288,210322_Poo_TruePoo_Full3,210322,Poo,TruePoo,Full3,240445,240445
Cyclic diGMP_Neg,Inj_vol,0.751746335404288,0.751746335404288,210322_Poo_TruePoo_Half1,210322,Poo,TruePoo,Half1,39783,79566
Cyclic diGMP_Neg,Inj_vol,0.751746335404288,0.751746335404288,210322_Poo_TruePoo_Half2,210322,Poo,TruePoo,Half2,35655,71310
Cyclic diGMP_Neg,Inj_vol,0.751746335404288,0.751746335404288,210322_Poo_TruePoo_Half3,210322,Poo,TruePoo,Half3,22123,44246
Cys-Gly oxidized_Pos,"L-Isoleucine, 15N",0.14040582681322047,0.10186845876237227,210322_Blk_PPL_Blank_A,210322,Blk,PPL,Blank,0,0
Cys-Gly oxidized_Pos,"L-Isoleucine, 15N",0.14040582681322047,0.10186845876237227,210322_Blk_PPL_Blank_B,210322,Blk,PPL,Blank,0,0
Cys-Gly oxidized_Pos,"L-Isoleucine, 15N",0.14040582681322047,0.10186845876237227,210322_Blk_PPL_Blank_C,210322,Blk,PPL,Blank,0,0
Cys-Gly oxidized_Pos,"L-Isoleucine, 15N",0.14040582681322047,0.10186845876237227,210322_Smp_PPL_Aloha_A,210322,Smp,PPL,Aloha,0,0
Cys-Gly oxidized_Pos,"L-Isoleucine, 15N",0.14040582681322047,0.10186845876237227,210322_Smp_PPL_Aloha_B,210322,Smp,PPL,Aloha,0,0
Cys-Gly oxidized_Pos,"L-Isoleucine, 15N",0.14040582681322047,0.10186845876237227,210322_Smp_PPL_Aloha_C,210322,Smp,PPL,Aloha,0,0
Cys-Gly oxidized_Pos,"L-Isoleucine, 15N",0.14040582681322047,0.10186845876237227,210322_Smp_PPL_PS_A,210322,Smp,PPL,PS,0,0
Cys-Gly oxidized_Pos,"L-Isoleucine, 15N",0.14040582681322047,0.10186845876237227,210322_Smp_PPL_PS_B,210322,Smp,PPL,PS,4696,3945.134615751161
Cys-Gly oxidized_Pos,"L-Isoleucine, 15N",0.14040582681322047,0.10186845876237227,210322_Smp_PPL_PS_C,210322,Smp,PPL,PS,0,0
Cys-Gly oxidized_Pos,"L-Isoleucine, 15N",0.14040582681322047,0.10186845876237227,210322_Poo_TruePoo_Full1,210322,Poo,TruePoo,Full1,975628,1928208.0840165238
Cys-Gly oxidized_Pos,"L-Isoleucine, 15N",0.14040582681322047,0.10186845876237227,210322_Poo_TruePoo_Full2,210322,Poo,TruePoo,Full2,1073227,1609898.1867435304
Cys-Gly oxidized_Pos,"L-Isoleucine, 15N",0.14040582681322047,0.10186845876237227,210322_Poo_TruePoo_Full3,210322,Poo,TruePoo,Full3,1328937,1727589.4645424604
Cys-Gly oxidized_Pos,"L-Isoleucine, 15N",0.14040582681322047,0.10186845876237227,210322_Poo_TruePoo_Half1,210322,Poo,TruePoo,Half1,455362,1968182.8840482372
Cys-Gly oxidized_Pos,"L-Isoleucine, 15N",0.14040582681322047,0.10186845876237227,210322_Poo_TruePoo_Half2,210322,Poo,TruePoo,Half2,533192,1730462.9485409246
Cys-Gly oxidized_Pos,"L-Isoleucine, 15N",0.14040582681322047,0.10186845876237227,210322_Poo_TruePoo_Half3,210322,Poo,TruePoo,Half3,606403,1508488.060788352
Cystathionine_Pos,Inj_vol,0.12495482499897721,0.12495482499897721,210322_Blk_PPL_Blank_A,210322,Blk,PPL,Blank,0,0
Cystathionine_Pos,Inj_vol,0.12495482499897721,0.12495482499897721,210322_Blk_PPL_Blank_B,210322,Blk,PPL,Blank,0,0
Cystathionine_Pos,Inj_vol,0.12495482499897721,0.12495482499897721,210322_Blk_PPL_Blank_C,210322,Blk,PPL,Blank,0,0
Cystathionine_Pos,Inj_vol,0.12495482499897721,0.12495482499897721,210322_Smp_PPL_Aloha_A,210322,Smp,PPL,Aloha,0,0
