Compound,210329_Std_250nMStdsInH2O_1,210329_Std_250nMStdsInH2O_2,210329_Std_250nMStdsInMatrix_1,210329_Std_250nMStdsInMatrix_2,210329_Std_H2OInMatrix_1,210329_Std_H2OInMatrix_2,210329_Blk_Blank1_A,210329_Blk_Blank1_B,210329_Blk_Blank1_C,210329_Blk_Blank2_A,210329_Blk_Blank2_B,210329_Blk_Blank2_C,210329_Blk_Blank3_A,210329_Blk_Blank3_B,210329_Blk_Blank3_C,210329_Blk_PPL_Blank_A,210329_Blk_PPL_Blank_B,210329_Blk_PPL_Blank_C,210329_Poo_TruePoo_Full1,210329_Poo_TruePoo_Full2,210329_Poo_TruePoo_Full3,210329_Poo_TruePoo_Half1,210329_Poo_TruePoo_Half2,210329_Poo_TruePoo_Half3,210329_Smp_Aloha_A,210329_Smp_Aloha_B,210329_Smp_Aloha_C,210329_Smp_Mort_Test_A,210329_Smp_Mort_Test_B,210329_Smp_PPL_Aloha_A,210329_Smp_PPL_Aloha_B,210329_Smp_PPL_Aloha_C,210329_Smp_PPL_PS_A,210329_Smp_PPL_PS_B,210329_Smp_PPL_PS_C,210329_Smp_PS_A,210329_Smp_PS_B,210329_Smp_PS_C
Decarboxylated S-Adenosylmethionine,46296532,72549696,51736276,73619456,14432,8092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2576,20804,18200,11781,9180,4990,NA,131713,114166,179119,47844,106678,430919,538292,680260,136537,436359,217530,88145,116885,90081
Desthiobiotin,45315412,57127640,40983620,58390172,86719,81743,66758,86945,105327,9927,28173,24544,0,0,2830,0,0,0,122504,139903,118876,52933,59717,51588,137166,166256,61586,63890,12710,NA,NA,13181,85635,115933,8732,6621,2835,NA
Dimethyl glycine,9830161,12729466,28432514,29218772,18104554,15781728,5294023,5946578,5650177,1393902,1164725,1299108,1690818,1603033,1005503,90173,224228,760943,18720050,20085726,17885528,12776826,13296084,11814271,4292942,4257367,1937345,3105976,3331400,48455,152522,75260,417954,183104,110487,4353734,3327018,3506870
Dimethyl-benzimidazole,210444704,243579088,205928144,232465776,11332,NA,NA,8558,NA,71143,36908,123062,244700,18358,27954,0,17651,5994,22327,28462,154404,NA,20461,NA,74371,51117,NA,18642,23234,163352,99198,236650,12218,147981,234414,NA,NA,20508
Domoic Acid,25475416,35372316,28919708,37696548,3247,3108,15263,12295,2464,2416,2515,2953,NA,NA,2071,NA,NA,NA,2990,9334,3363,2290,2574,2777,9765,6752,5077,2734,3342,73642,54826,70036,47391,412689,127404,5785,3951,5457
Ergosterol,4131713,1302621,5450699,3461143,NA,NA,NA,NA,1755,NA,NA,NA,NA,NA,2081,NA,NA,1678,NA,NA,NA,NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,2204,NA,NA,NA,NA,NA
Ethyl 3 aminobenzoate,248386944,348662464,254238176,344581408,22675,49660,26302,12257,86891,40926,58841,61321,56611,24346,55970,NA,207990,69050,33726,37977,29945,87543,5585,37650,7647,23431,54092,144258,130321,118817,31777,92635,4618,38654,53858,58325,25108,43877
Ferulic Acid,3009812,5445638,3204162,5499645,2492,48843,596276,6995,706961,31120,771616,11214,6627,57384,317849,10295,36540,44996,269662,53673,4355,150457,26936,132911,4697,961517,23124,105594,103389,37620,43028,53670,26305,60253,206999,6780,370666,275874
Glutathione,9221939,12782647,6057390,4580543,505740,269844,NA,NA,NA,NA,NA,NA,NA,NA,5303,NA,NA,NA,457000,471425,314947,416770,340701,248726,NA,NA,5567,NA,15469,24035,28918,26293,91978,23689,17267,3177,NA,10028
Glutathione Disulfide,1587943,2178485,2917633,4065226,248286,227790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6827,NA,283507,352049,258019,128361,132744,156107,NA,NA,NA,NA,NA,NA,4670,3193,3883,3373,4698,NA,NA,NA
HHQ,491264000,587413120,498640448,636722432,1880,NA,NA,2371,NA,NA,2562,NA,2254,NA,NA,8381,NA,NA,NA,NA,NA,13386,3275,NA,NA,NA,NA,NA,NA,NA,2543,2399,2432,NA,NA,NA,NA,2503
Homoserine lactone,8588225,13883841,5008283,6032653,503129,566578,388421,362285,370723,4942431,4650915,900032,2573387,2268775,3689016,179847,376364,409171,538405,650183,653048,372972,451278,558512,899550,1026195,2553868,2863119,1119643,260972,199818,148593,288586,436052,405337,508324,560456,745057
Hydroxo B12,31864540,41907592,15828651,41000092,2389,NA,NA,2329,NA,2072,2007,2481,1891,1998,NA,NA,NA,2221,NA,NA,1954,2204,NA,2245,NA,2195,NA,2388,NA,2680,NA,NA,NA,2267,NA,2071,NA,NA
IAA,3389771,6364217,3271341,5772169,16136,334047,62613,78077,86944,58254,32080,55718,29510,11878,73551,NA,4221,8580,63477,60451,34366,13754,20854,18014,108683,57354,51904,52600,21695,16675,27747,NA,20732,40142,19172,35402,23023,65748
Indole 3 acetamide,41023292,47664496,36166612,45145552,29361,NA,115002,122613,27201,6717,110824,8503,22672,2169,23488,NA,NA,2091,17705,8788,NA,NA,2318,NA,7076,21816,9128,4661,20102,6464,NA,NA,NA,NA,NA,82608,27247,36422
Indole 3 carboxylic acid,2941049,5792803,2893394,5242591,50760,33285,113425,198804,154212,65585,43461,50706,20474,19020,29064,0,0,2890,54682,67827,116373,63631,42517,4268,91008,85822,152322,73533,143156,2095,31357,8780,140255,146753,153552,57204,13235,101319
Indole 3 Lactic Acid,3425910,5923419,3503736,5794165,320881,406521,405422,330943,366512,437156,559020,500904,720753,561339,686326,453335,539774,503084,427460,625581,540341,242508,305418,282253,466330,461623,430220,528904,538847,518216,562288,499247,535743,509056,582848,542254,599801,642096
Indole 3 methyl acetate,11339492,14551712,10003956,12429399,143282,135723,172798,148405,69175,62872,47515,10107,13553,1984,20594,NA,NA,5232,183340,239196,182226,76181,99642,83308,60861,52252,8584,9743,19448,NA,NA,11619,NA,NA,NA,37184,26360,47227
Indoleacrylic acid,12400298,20219540,13419763,19866894,127150,100393,1826871,1098245,893541,401934,238377,693744,56232,106759,278555,0,0,0,164345,187933,159962,69955,80523,63387,678642,619577,1318916,NA,NA,NA,NA,NA,NA,NA,NA,260261,508285,217229
Isobutyryl-L-carnitine,332251808,360989600,541546368,556386880,215017376,186803296,87685,117179,58156,139242,80655,5190,17666,82807,30928,14309,47251,33591,262881296,290417056,236483072,135309296,150380688,124530192,193100,59798,23665,1314479,74214,175966,855208,276156,385849,294927,29612,639551,32001,12546
Kinetin,28380546,35861104,23998186,31626250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10520,NA,3931,NA,NA,NA,NA,NA,NA,NA,NA,3637,NA,NA,NA,NA,NA,3826,NA,NA
Kynurenine,17051658,24059452,15954933,23192480,136427,180282,145885,168380,129853,48871,106252,71594,13112,27070,117510,0,0,0,190977,284203,198607,85885,114102,108549,51145,112417,37439,57549,74157,287686,90880,32632,223313,289018,696705,43266,193847,142664
Melatonin,155626176,133803616,156622080,129584672,73467,11961,162564,172267,563983,105100,79316,115437,29337,17970,76998,NA,7645,6942,41378,94800,46421,6977,15685,9637,244466,105275,375032,11721,86303,75204,29423,28259,14063,NA,NA,45121,119608,82072
Methyl B12,24793914,31688682,20003026,28123378,2131,NA,2588,2577,NA,2306,2512,NA,2668,2048,NA,NA,NA,NA,2214,NA,2524,NA,NA,NA,2486,2365,NA,NA,NA,NA,NA,NA,2308,NA,NA,NA,NA,NA
Methyl indole 3 carboxylate,10733251,17455684,10170620,15538696,15962,334047,96838,16821,39097,29343,17592,75901,18369,22186,55486,NA,NA,NA,487210,526283,400393,19507,33909,21768,44860,31096,23335,NA,5766,43831,NA,21964,NA,10438,NA,27133,39597,23288
Methylthioadenosine,53705704,74454608,88409968,115092920,25214180,31133368,NA,3200,NA,3001,NA,2494,NA,NA,2471,0,0,0,38917644,48323352,40796296,18949580,22568006,19116358,2735,9357,NA,NA,NA,3453,4402,13495,26479,45314,115015,3148,3022,2762
Monesin,29565180,44540332,28062844,41023892,3694,NA,NA,NA,2710,2548,NA,2544,NA,NA,2161,5937,3176,4255,NA,NA,NA,NA,NA,2870,NA,NA,2870,NA,NA,5090,2449,2879,NA,NA,2131,2036,2436,NA
p-Coumaric Acid,1589594,2865966,1733593,2984045,46542,27795,49382,87711,42733,69473,71883,50214,63224,60811,15632,9972,26651,8628,86397,27136,42915,21238,39714,28856,141403,40292,130200,48127,51422,57592,28029,23809,45311,85964,39096,190814,19425,62147
p-Coumoroyl-HSL,18086476,23136106,18993790,24406812,15192,18135,80202,82134,44438,96075,75856,31580,7388,2975,8452,NA,NA,2726,46709,21372,16265,13382,18379,4364,138158,52957,61414,47259,56644,46473,39110,46484,42121,56179,21932,14738,22404,45695
Phenylalanine,20881518,29365914,41469180,50905484,17751326,21161856,2380741,4003259,2719830,1090943,1502031,2595213,1101135,2052820,3449334,423070,431810,699320,25354404,32125458,27154528,13252021,16878120,14238863,11532276,9325538,7216590,4360863,10248560,19009522,21677980,22308082,20645934,23108084,22737170,8419564,9208902,10692297
Propionyl-L-carnitine,92814048,92453512,160597632,171664144,57805012,49758328,388311,208274,137397,27697,0,37099,3815,4223,6147,0,0,9610,71548840,77596240,65170520,35004440,38979684,32933784,23767,53473,139276,2211608,110965,522077,606958,583138,181457,384301,399811,386600,143530,276567
Pyridoxal,66517204,73496520,40367352,46747848,75465,105083,1142427,1479015,1209536,466718,497411,499294,260471,323603,537993,25083,37210,9961,147808,178884,348820,200857,16487,194296,1053977,830223,894828,711219,1594179,149858,276963,240365,7552,118281,22073,634771,725394,187044
Pyridoxal Phosphate,2702099,5851377,5539182,8701209,2021068,2147708,8709,4726,5550,73172,59477,54568,6953,7504,8229,513802,357168,32681,3052394,3786303,2874462,1522778,1924718,1461241,6193,0,7698,0,7796,83708,90227,187849,29595,78922,139320,5492,0,4938
Pyridoxamine,44526500,47324640,43083800,60088668,574293,473507,624418,693172,544956,500528,441294,573231,824113,557195,470225,NA,NA,NA,619208,673358,549400,396907,461429,324085,866589,593249,409268,2033596,862793,373851,427585,357383,315163,417618,321576,423230,564067,408964
Retinoic Acid,5606241,1376830,7517171,2631351,272256,37621,62827,48957,55017,27292,450552,51253,74496,110054,74442,536177,32090,21439,31971,38591,160410,62961,13160,54679,56539,7875,22547,54073,57373,79333,37224,41139,41722,57676,74394,54174,66401,38396
RP B12,9430434,13482334,9708007,13347410,NA,NA,2271,2557,2616,NA,NA,1872,2041,NA,NA,NA,NA,2505,NA,NA,NA,NA,2187,2071,NA,NA,NA,2529,NA,NA,NA,2730,NA,2760,NA,NA,2339,NA
S-Farnesyl-L-cysteine Methyl Ester,34597632,28557096,35618940,18761598,NA,2752,NA,NA,2588,NA,NA,4325,2330,2654,2378,NA,NA,NA,NA,2437,2654,NA,2114,NA,2280,NA,NA,NA,NA,2430,NA,2542,NA,NA,NA,NA,NA,NA
Sinapic Acid,3370366,6436135,3687445,5970720,2784,6464,53532,37557,54727,32326,17923,2878,3037,2326,25200,NA,3894,3445,9614,15085,19302,2710,10680,2737,38035,37450,28185,373826,600779,NA,NA,NA,55331,70192,89041,23316,10160,2768
