MF	TruePoo_Full1	TruePoo_Full2	TruePoo_Full3	TruePoo_Half1	TruePoo_Half2	TruePoo_Half3	PS_A	PS_B	PS_C	Aloha_A	Aloha_B	Aloha_C	PPL_Aloha_A	PPL_Aloha_B	PPL_Aloha_C	PPL_PS_A	PPL_PS_B	PPL_PS_C
3 Indolepropionic Acid	269709.6535035929	265272.5391792041	240480.6683318702	226834.0224870178	214513.45873007993	211206.9729853522	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3-Indoleacetonitrile	NA	NA	NA	NA	NA	NA	36750	39722	17035	NA	NA	NA	NA	NA	NA	NA	NA	NA
3OC10-HSL	45690	37865	33722	50408	27332	29422	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acetyl-L-carnitine	6408043.338047022	5934756.084349998	7484130.390908143	6385103.350221557	7501292.940410782	8471481.567620287	571867.4010427467	650901.2849696977	524674.9603065965	1901598.3419480475	1504125.3238308113	1466791.558784584	131696.20354968365	246419.49015677272	54841.15279279924	479898.5188413456	316919.71225277707	247094.0871304012
Adenosyl Homocysteine	4504905	4876843	4192125	4468368	4696082	4171763.999999999	NA	NA	NA	NA	NA	NA	35932.4	63629.26666666667	44805.666666666664	52586.73333333333	33455.333333333336	50680.6
Adenosyl Methionine	1648172	1845729	1418581	1496502	1333402	1108868	12316	13322	29549	11202	6670	11773	NA	NA	NA	NA	NA	NA
Betaine	157578296.5943324	153620016.2703161	149616563.77488616	156351693.1503835	164036993.87576184	148258099.5462823	126795088.11898956	170433075.87825802	146004057.2061672	107830170.5250916	167113953.7785267	73829792.86376396	NA	NA	NA	NA	NA	NA
Butyryl-L-carnitine	262881296	290417056	236483072	270618592	300761376	249060384	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C4-HSL	NA	NA	NA	NA	NA	NA	NA	NA	NA	83999	91736	76652	NA	NA	NA	NA	NA	NA
Caffeine	NA	NA	NA	NA	NA	NA	246922	270325	397238	NA	NA	NA	NA	NA	NA	NA	NA	NA
Camalexin	NA	NA	NA	NA	NA	NA	23512	25170	39676	NA	NA	NA	NA	NA	NA	NA	NA	NA
Choline	103261768.4522206	100187568.09052192	97811298.74227594	93426247.77617584	93431882.29929984	89952501.58579125	NA	NA	NA	394003.9739747702	394904.5116506657	670119.9747929872	NA	NA	NA	NA	NA	NA
Decarboxylated S-Adenosylmethionine	NA	NA	NA	NA	NA	NA	88145	116885	90081	131713	114166	179119	28727.933333333334	35886.13333333333	45350.666666666664	9102.466666666667	29090.6	14502
Desthiobiotin	122504	139903	118876	105866	119434	103176	NA	NA	NA	137166	166256	61586	NA	NA	NA	NA	NA	NA
Dimethyl glycine	18776343.964929815	17980923.081035644	18550250.20549345	19563606.669375345	18800600.13045488	18727304.73440422	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Glutathione	458374.26673395233	422023.912079515	326652.12072405947	638149.4395866048	481749.6087604521	394266.1885248294	NA	NA	NA	NA	NA	NA	26302.37944069771	29922.06788211436	28315.81260256798	97032.67410527896	23853.207834192108	19091.998721560787
Glutathione Disulfide	283507	352049	258019	256722	265488	312214	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Indole 3 Lactic Acid	628832.1614849231	693780.2485504176	713079.1698611124	722083.7889405718	657516.6249013825	715583.1582325181	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Indole 3 methyl acetate	269709.6535035929	265272.5391792041	240480.6683318702	226834.0224870178	214513.45873007993	211206.9729853522	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Isobutyryl-L-carnitine	262881296	290417056	236483072	270618592	300761376	249060384	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kynurenine	280944.3683710901	315186.0877788397	262098.40580042225	255728.33149075913	245643.5505913127	275199.3291230974	NA	NA	NA	NA	NA	NA	248275.9222704589	74237.89453506433	28040.558717892614	175775.03491636255	233222.3216840526	564043.3995419095
