Rep,Compound,Area
210322_Blk_Blank2_A,"L-Isoleucine, 15N",NA
210322_Blk_Blank2_B,"L-Isoleucine, 15N",NA
210322_Blk_Blank2_C,"L-Isoleucine, 15N",NA
210322_Blk_Blank3_A,"L-Isoleucine, 15N",NA
210322_Blk_Blank3_B,"L-Isoleucine, 15N",NA
210322_Blk_Blank3_C,"L-Isoleucine, 15N",35268
210322_Blk_Blank4_A,"L-Isoleucine, 15N",NA
210322_Blk_Blank4_B,"L-Isoleucine, 15N",NA
210322_Blk_Blank4_C,"L-Isoleucine, 15N",8243
210322_Blk_Blank5_A,"L-Isoleucine, 15N",NA
210322_Blk_Blank5_B,"L-Isoleucine, 15N",NA
210322_Blk_Blank5_C,"L-Isoleucine, 15N",NA
210322_Smp_Aloha_A,"L-Isoleucine, 15N",6957175
210322_Smp_Aloha_B,"L-Isoleucine, 15N",5746411
210322_Smp_Aloha_C,"L-Isoleucine, 15N",4314755
210322_Smp_LW_A,"L-Isoleucine, 15N",3833366
210322_Smp_LW_B,"L-Isoleucine, 15N",5738212
210322_Smp_LW_C,"L-Isoleucine, 15N",6372804
210322_Smp_NP_A,"L-Isoleucine, 15N",4562581
210322_Smp_NP_B,"L-Isoleucine, 15N",6642147
210322_Smp_NP_C,"L-Isoleucine, 15N",6474049
210322_Smp_PS_A,"L-Isoleucine, 15N",5804607
210322_Smp_PS_B,"L-Isoleucine, 15N",6054167
210322_Smp_PS_C,"L-Isoleucine, 15N",5920480
210322_Blk_Blank1_A,"L-Methionine, D3",88661
210322_Blk_Blank1_B,"L-Methionine, D3",75148
210322_Blk_Blank1_C,"L-Methionine, D3",88312
210322_Blk_Blank2_A,"L-Methionine, D3",144248
210322_Blk_Blank2_B,"L-Methionine, D3",78953
210322_Blk_Blank2_C,"L-Methionine, D3",223758
210322_Blk_Blank3_A,"L-Methionine, D3",53525
210322_Blk_Blank3_B,"L-Methionine, D3",126943
210322_Blk_Blank3_C,"L-Methionine, D3",136330
210322_Blk_Blank4_A,"L-Methionine, D3",171245
210322_Blk_Blank4_B,"L-Methionine, D3",166131
210322_Blk_Blank4_C,"L-Methionine, D3",316178
210322_Blk_Blank5_A,"L-Methionine, D3",43846
210322_Blk_Blank5_B,"L-Methionine, D3",99522
210322_Blk_Blank5_C,"L-Methionine, D3",33103
210322_Smp_Aloha_A,"L-Methionine, D3",114390
210322_Smp_Aloha_B,"L-Methionine, D3",208805
210322_Smp_Aloha_C,"L-Methionine, D3",113918
210322_Smp_LW_A,"L-Methionine, D3",411341
210322_Smp_LW_B,"L-Methionine, D3",407433
210322_Smp_LW_C,"L-Methionine, D3",34523
210322_Smp_NP_A,"L-Methionine, D3",88046
210322_Smp_NP_B,"L-Methionine, D3",238515
210322_Smp_NP_C,"L-Methionine, D3",44471
210322_Smp_PS_A,"L-Methionine, D3",330773
210322_Smp_PS_B,"L-Methionine, D3",166853
210322_Smp_PS_C,"L-Methionine, D3",173986
210322_Blk_Blank1_A,"Betaine, 13C5-15N",18258
210322_Blk_Blank1_B,"Betaine, 13C5-15N",59593
210322_Blk_Blank1_C,"Betaine, 13C5-15N",186843
210322_Blk_Blank2_A,"Betaine, 13C5-15N",30098
210322_Blk_Blank2_B,"Betaine, 13C5-15N",55936
210322_Blk_Blank2_C,"Betaine, 13C5-15N",47708
210322_Blk_Blank3_A,"Betaine, 13C5-15N",18720
210322_Blk_Blank3_B,"Betaine, 13C5-15N",50823
210322_Blk_Blank3_C,"Betaine, 13C5-15N",125912
210322_Blk_Blank4_A,"Betaine, 13C5-15N",124140
210322_Blk_Blank4_B,"Betaine, 13C5-15N",210711
210322_Blk_Blank4_C,"Betaine, 13C5-15N",237523
210322_Blk_Blank5_A,"Betaine, 13C5-15N",43395
210322_Blk_Blank5_B,"Betaine, 13C5-15N",16057
210322_Blk_Blank5_C,"Betaine, 13C5-15N",92910
210322_Smp_Aloha_A,"Betaine, 13C5-15N",579733888
210322_Smp_Aloha_B,"Betaine, 13C5-15N",531428928
210322_Smp_Aloha_C,"Betaine, 13C5-15N",463439264
210322_Smp_LW_A,"Betaine, 13C5-15N",233338032
210322_Smp_LW_B,"Betaine, 13C5-15N",439175104
210322_Smp_LW_C,"Betaine, 13C5-15N",447114496
210322_Smp_NP_A,"Betaine, 13C5-15N",330170976
210322_Smp_NP_B,"Betaine, 13C5-15N",538556608
210322_Smp_NP_C,"Betaine, 13C5-15N",491488512
210322_Smp_PS_A,"Betaine, 13C5-15N",472436512
210322_Smp_PS_B,"Betaine, 13C5-15N",586727680
210322_Smp_PS_C,"Betaine, 13C5-15N",480347360
210322_Blk_Blank1_A,"Adenine, 15N2",260061
210322_Blk_Blank1_B,"Adenine, 15N2",287109
210322_Blk_Blank1_C,"Adenine, 15N2",197223
210322_Blk_Blank2_A,"Adenine, 15N2",92834
210322_Blk_Blank2_B,"Adenine, 15N2",142096
210322_Blk_Blank2_C,"Adenine, 15N2",75433
210322_Blk_Blank3_A,"Adenine, 15N2",64418
210322_Blk_Blank3_B,"Adenine, 15N2",58720
210322_Blk_Blank3_C,"Adenine, 15N2",117110
210322_Blk_Blank4_A,"Adenine, 15N2",33866
210322_Blk_Blank4_B,"Adenine, 15N2",NA
210322_Blk_Blank4_C,"Adenine, 15N2",83213
210322_Blk_Blank5_A,"Adenine, 15N2",31285
210322_Blk_Blank5_B,"Adenine, 15N2",7789
210322_Blk_Blank5_C,"Adenine, 15N2",NA
210322_Smp_Aloha_A,"Adenine, 15N2",71377432
210322_Smp_Aloha_B,"Adenine, 15N2",94119504
210322_Smp_Aloha_C,"Adenine, 15N2",96046616
210322_Smp_LW_A,"Adenine, 15N2",3237092
210322_Smp_LW_B,"Adenine, 15N2",6451203
210322_Smp_LW_C,"Adenine, 15N2",6605841
210322_Smp_NP_A,"Adenine, 15N2",6720975
210322_Smp_NP_B,"Adenine, 15N2",36971708
210322_Smp_NP_C,"Adenine, 15N2",29365262
210322_Smp_PS_A,"Adenine, 15N2",51216988
210322_Smp_PS_B,"Adenine, 15N2",67831472
210322_Smp_PS_C,"Adenine, 15N2",33434056
210322_Blk_Blank1_A,"Cytosine, 13C2-15N3",NA
210322_Blk_Blank1_B,"Cytosine, 13C2-15N3",NA
210322_Blk_Blank1_C,"Cytosine, 13C2-15N3",NA
210322_Blk_Blank2_A,"Cytosine, 13C2-15N3",149712
210322_Blk_Blank2_B,"Cytosine, 13C2-15N3",305820
210322_Blk_Blank2_C,"Cytosine, 13C2-15N3",468517
210322_Blk_Blank3_A,"Cytosine, 13C2-15N3",118046
210322_Blk_Blank3_B,"Cytosine, 13C2-15N3",205791
210322_Blk_Blank3_C,"Cytosine, 13C2-15N3",311247
210322_Blk_Blank4_A,"Cytosine, 13C2-15N3",712671
210322_Blk_Blank4_B,"Cytosine, 13C2-15N3",559783
