Rep,InjVol
210329_Poo_TruePoo_Half1,7.5
210329_Poo_TruePoo_Half2,7.5
210329_Poo_TruePoo_Half3,7.5
210329_Blk_Blk_1,15
210329_Blk_Blk_2,15
210329_Std_H2OInMatrix_1,15
210329_Std_250nMStdsInH2O_1,15
210329_Std_250nMStdsInMatrix_1,15
210329_Blk_Blk_3,15
210329_Blk_Blk_4,15
210329_Poo_TruePoo_Full1,15
210329_Blk_Blk_5,15
210329_Blk_Blank1_A,15
210329_Blk_Blank1_B,15
210329_Blk_Blank1_C,15
210329_Smp_Aloha_A,15
210329_Smp_Aloha_B,15
210329_Smp_Aloha_C,15
210329_Blk_Blk_6,15
210329_Blk_Blank2_A,15
210329_Blk_Blank2_B,15
210329_Blk_Blank2_C,15
210329_Smp_PS_A,15
210329_Smp_PS_B,15
210329_Smp_PS_C,15
210329_Blk_Blk_7,15
210329_Blk_Blank3_A,15
210329_Blk_Blank3_B,15
210329_Blk_Blank3_C,15
210329_Blk_Blk_8,15
210329_Poo_TruePoo_Full2,15
210329_Blk_Blk_9,15
210329_Smp_Mort_Test_A,15
210329_Smp_Mort_Test_B,15
210329_Blk_Blk_10,15
210329_Smp_PPL_Aloha_A,15
210329_Smp_PPL_Aloha_B,15
210329_Smp_PPL_Aloha_C,15
210329_Blk_Blk_11,15
210329_Smp_PPL_PS_A,15
210329_Smp_PPL_PS_B,15
210329_Smp_PPL_PS_C,15
210329_Blk_Blk_12,15
210329_Blk_PPL_Blank_A,15
210329_Blk_PPL_Blank_B,15
210329_Blk_PPL_Blank_C,15
210329_Blk_Blk_13,15
210329_Poo_TruePoo_Full3,15
210329_Blk_Blk_14,15
210329_Std_H2OInMatrix_2,15
210329_Std_4uMStdsMix1InH2O_2,15
210329_Std_4uMStdsMix1InMatrix_2,15
210329_Blk_Blk_15,15
210329_Blk_Blk_16,15
