Compound,z,RFmax,RFmin,RF,RFratio
Isoleucine,1,74059480,53217840,63638660,0.9847158461733283
Keto-?-(methylthio)butyric acid,-1,12391644.8,10422932.8,11407288.8,0.9850296017345337
Ketoglutaric Acid,-1,9462,4810,7136,NA
L-Pyroglutamic acid,-1,63364032,59162068,61263050,0.9536476693957237
Leucine,1,39942956,25506736,32724846,1.003292655951407
Lipoic Acid,-1,9842240,9492083,9667161.5,1.0354512676393228
Lysine,1,3985991.5,3704879,3845435.25,0.9684776467192378
Malic Acid,-1,94005.5,8060,51032.75,NA
Melamine,1,246910192,170375328,208642760,1.0343701205914027
MESNA (Sodium 2-mercaptoethanesulfonate),-1,41061144,33855240,37458192,0.45338074716928534
Methionine,1,38595480,24678834,31637157,0.9936513451337003
Methionine Sulfoxide,1,28163914,21021068,24592491,1.056646277995751
Methylmalonyl carnitine,1,285666880,207011360,246339120,1.049986032795839
Methylphosphonic Acid,-1,9274608,3246832.5,6260720.25,NA
Muramic Acid,1,20157706,14053614,17105660,0.9503880836586314
N-Acetyl-Serine,1,3328798.5,1638367.75,2483583.125,1.1462270394339524
N-Acetylglucosamine,1,3010872.3333333335,2687322.6666666665,2849097.5,0.9669675934212237
N-Acetylmuramic acid,1,17962492.8,17793752,17878122.4,0.8527467730873313
N-acetyltaurine,-1,NA,NA,117582.25,NA
N-methyltaurine,1,37169728,25584520,31377124,0.95642912270205
N(e)-Acetyl-Lysine,1,73605840,63002996,68304418,1.036494443638378
"NAD",-1,3636869.5,3469343.75,3553106.625,1.0212317950058967
"NADH",-1,3722796,2832311.75,3277553.875,0.036588707634706494
"NADP",-1,NA,NA,NA,NA
"NADPH",-1,88770.5,17050.75,52910.625,NA
Ophthalmic Acid,1,18778776,14728291.2,16753533.6,1.0026858162363919
Ornithine,1,9184645.6,8081552,8633098.8,0.9504675251748591
Orotic Acid,-1,NA,NA,3753.5,NA
Oxalic Acid,-1,176793,25540.25,101166.625,-0.2030257194722106
PEP,-1,NA,NA,4213,NA
Phosphoglyceric Acid,-1,5274222.5,3627837,4451029.75,NA
PQS,1,12615288,7774985.5,10195136.75,0.5416718814237358
Proline,1,53932216,49622616,51777416,0.9973404772571968
Propanesulfonate,-1,117563920,107948504,112756212,0.9132354313866389
Propionyl-L-carnitine,1,505460448,461086400,483273424,0.9690564587134671
