Rep,Compound,Area,Background,Mass.Error.PPM
210329_Std_250nMStdsInH2O_1,"Indole 3 Acetic Acid, D5",NA,NA,NA
210329_Std_250nMStdsInH2O_2,"Indole 3 Acetic Acid, D5",4679,0,-0.6
210329_Std_250nMStdsInMatrix_1,"Indole 3 Acetic Acid, D5",28565094,434812,-0.8
210329_Std_250nMStdsInMatrix_2,"Indole 3 Acetic Acid, D5",37302520,532929,-0.4
210329_Std_H2OInMatrix_1,"Indole 3 Acetic Acid, D5",22945760,871668,-0.7
210329_Std_H2OInMatrix_2,"Indole 3 Acetic Acid, D5",31866720,789657,-0.6
210329_Blk_Blank1_A,"Indole 3 Acetic Acid, D5",61218336,636880,-0.5
210329_Blk_Blank1_B,"Indole 3 Acetic Acid, D5",58605008,740108,-0.5
210329_Blk_Blank1_C,"Indole 3 Acetic Acid, D5",45979956,410012,-0.7
210329_Blk_Blank2_A,"Indole 3 Acetic Acid, D5",71812360,565069,-0.5
210329_Blk_Blank2_B,"Indole 3 Acetic Acid, D5",77753200,1026418,-0.7
210329_Blk_Blank2_C,"Indole 3 Acetic Acid, D5",72745240,731958,-0.3
210329_Blk_Blank3_A,"Indole 3 Acetic Acid, D5",93294248,839191,-0.4
210329_Blk_Blank3_B,"Indole 3 Acetic Acid, D5",78821400,798940,-0.5
210329_Blk_Blank3_C,"Indole 3 Acetic Acid, D5",95296808,1407381,-0.8
210329_Blk_PPL_Blank_A,"Indole 3 Acetic Acid, D5",40504028,1640671,0.2
210329_Blk_PPL_Blank_B,"Indole 3 Acetic Acid, D5",52929592,1291447,0.1
210329_Blk_PPL_Blank_C,"Indole 3 Acetic Acid, D5",67325576,1820261,-0.2
210329_Poo_TruePoo_Full1,"Indole 3 Acetic Acid, D5",37982748,757047,-0.7
210329_Poo_TruePoo_Full2,"Indole 3 Acetic Acid, D5",50383376,623017,-0.5
210329_Poo_TruePoo_Full3,"Indole 3 Acetic Acid, D5",42340484,693993,-0.3
210329_Poo_TruePoo_Half1,"Indole 3 Acetic Acid, D5",18765672,365500,-0.5
210329_Poo_TruePoo_Half2,"Indole 3 Acetic Acid, D5",25954552,405778,-0.5
210329_Poo_TruePoo_Half3,"Indole 3 Acetic Acid, D5",22039620,161241,-0.1
210329_Smp_Aloha_A,"Indole 3 Acetic Acid, D5",68924288,670258,-1.1
210329_Smp_Aloha_B,"Indole 3 Acetic Acid, D5",68350136,879083,-0.4
210329_Smp_Aloha_C,"Indole 3 Acetic Acid, D5",70800360,1062674,-0.6
210329_Smp_Mort_Test_A,"Indole 3 Acetic Acid, D5",61460684,572374,-1.1
210329_Smp_Mort_Test_B,"Indole 3 Acetic Acid, D5",60095344,545019,-1
210329_Smp_PPL_Aloha_A,"Indole 3 Acetic Acid, D5",53848404,2588475,-0.7
210329_Smp_PPL_Aloha_B,"Indole 3 Acetic Acid, D5",56889404,3882914,-0.9
210329_Smp_PPL_Aloha_C,"Indole 3 Acetic Acid, D5",54081128,2037583,-0.6
210329_Smp_PPL_PS_A,"Indole 3 Acetic Acid, D5",59039888,2623843,-0.4
210329_Smp_PPL_PS_B,"Indole 3 Acetic Acid, D5",57589524,2853323,-0.3
210329_Smp_PPL_PS_C,"Indole 3 Acetic Acid, D5",57401748,2675967,-0.2
210329_Smp_PS_A,"Indole 3 Acetic Acid, D5",82049448,1006544,0.4
210329_Smp_PS_B,"Indole 3 Acetic Acid, D5",86608984,870553,-0.3
210329_Smp_PS_C,"Indole 3 Acetic Acid, D5",86508912,1241029,-0.4
210329_Std_250nMStdsInH2O_1,"L-Phenylalanine, D8",2614,0,-0.3
210329_Std_250nMStdsInH2O_2,"L-Phenylalanine, D8",NA,NA,NA
210329_Std_250nMStdsInMatrix_1,"L-Phenylalanine, D8",8050075,0,0.5
210329_Std_250nMStdsInMatrix_2,"L-Phenylalanine, D8",8915264,0,0.7
210329_Std_H2OInMatrix_1,"L-Phenylalanine, D8",6705043,59219,0.4
210329_Std_H2OInMatrix_2,"L-Phenylalanine, D8",8218724,0,-0.1
210329_Blk_Blank1_A,"L-Phenylalanine, D8",11248405,151973,0.3
210329_Blk_Blank1_B,"L-Phenylalanine, D8",10707422,53019,0.5
210329_Blk_Blank1_C,"L-Phenylalanine, D8",8307362,49182,0.4
210329_Blk_Blank2_A,"L-Phenylalanine, D8",11724787,58094,0.3
210329_Blk_Blank2_B,"L-Phenylalanine, D8",11891147,180358,0.5
210329_Blk_Blank2_C,"L-Phenylalanine, D8",11115257,0,0.3
210329_Blk_Blank3_A,"L-Phenylalanine, D8",14155127,152318,0.6
210329_Blk_Blank3_B,"L-Phenylalanine, D8",11630858,0,0.7
210329_Blk_Blank3_C,"L-Phenylalanine, D8",14886518,28423,0
210329_Blk_PPL_Blank_A,"L-Phenylalanine, D8",9699110,0,0.8
210329_Blk_PPL_Blank_B,"L-Phenylalanine, D8",10773603,0,1
210329_Blk_PPL_Blank_C,"L-Phenylalanine, D8",11785188,0,0.8
210329_Poo_TruePoo_Full1,"L-Phenylalanine, D8",9811815,59228,0.4
210329_Poo_TruePoo_Full2,"L-Phenylalanine, D8",12640903,119833,0.4
210329_Poo_TruePoo_Full3,"L-Phenylalanine, D8",10613602,51008,0.4
210329_Poo_TruePoo_Half1,"L-Phenylalanine, D8",5188197,0,0.5
210329_Poo_TruePoo_Half2,"L-Phenylalanine, D8",6498198,59329,0.5
210329_Poo_TruePoo_Half3,"L-Phenylalanine, D8",5581259,0,0.7
210329_Smp_Aloha_A,"L-Phenylalanine, D8",11804035,0,0.1
210329_Smp_Aloha_B,"L-Phenylalanine, D8",11683617,0,0.1
210329_Smp_Aloha_C,"L-Phenylalanine, D8",11717875,0,0.8
210329_Smp_Mort_Test_A,"L-Phenylalanine, D8",11031099,110638,-0.5
210329_Smp_Mort_Test_B,"L-Phenylalanine, D8",10651941,24331,0.6
210329_Smp_PPL_Aloha_A,"L-Phenylalanine, D8",9054772,72085,-0.4
210329_Smp_PPL_Aloha_B,"L-Phenylalanine, D8",10286778,85186,0.3
210329_Smp_PPL_Aloha_C,"L-Phenylalanine, D8",9674464,64748,0.6
210329_Smp_PPL_PS_A,"L-Phenylalanine, D8",10447401,0,0.6
210329_Smp_PPL_PS_B,"L-Phenylalanine, D8",9965326,42177,1
210329_Smp_PPL_PS_C,"L-Phenylalanine, D8",10042331,0,1.3
210329_Smp_PS_A,"L-Phenylalanine, D8",12158033,164320,0.9
210329_Smp_PS_B,"L-Phenylalanine, D8",13557163,43316,0.9
210329_Smp_PS_C,"L-Phenylalanine, D8",14009548,0,0.5
210329_Std_250nMStdsInH2O_1,"L-Tryptophan, D3",2710,0,5.8
210329_Std_250nMStdsInH2O_2,"L-Tryptophan, D3",372779,0,1.7
210329_Std_250nMStdsInMatrix_1,"L-Tryptophan, D3",21335,0,7.7
210329_Std_250nMStdsInMatrix_2,"L-Tryptophan, D3",5799,0,3.3
210329_Std_H2OInMatrix_1,"L-Tryptophan, D3",189446,0,9.7
210329_Std_H2OInMatrix_2,"L-Tryptophan, D3",177025,0,9.2
210329_Blk_Blank1_A,"L-Tryptophan, D3",10263,0,8.7
210329_Blk_Blank1_B,"L-Tryptophan, D3",15140,0,5.5
210329_Blk_Blank1_C,"L-Tryptophan, D3",9885,0,0.9
