Rep,Compound,Area
210322_Blk_Blank1_A,"Acetyl CoA, 13C2",NA
210322_Blk_Blank1_B,"Acetyl CoA, 13C2",NA
210322_Blk_Blank1_C,"Acetyl CoA, 13C2",NA
210322_Blk_Blank2_A,"Acetyl CoA, 13C2",NA
210322_Blk_Blank2_B,"Acetyl CoA, 13C2",17559
210322_Blk_Blank2_C,"Acetyl CoA, 13C2",NA
210322_Blk_Blank3_A,"Acetyl CoA, 13C2",NA
210322_Blk_Blank3_B,"Acetyl CoA, 13C2",NA
210322_Blk_Blank3_C,"Acetyl CoA, 13C2",NA
210322_Blk_Blank4_A,"Acetyl CoA, 13C2",NA
210322_Blk_Blank4_B,"Acetyl CoA, 13C2",NA
210322_Blk_Blank4_C,"Acetyl CoA, 13C2",NA
210322_Blk_Blank5_A,"Acetyl CoA, 13C2",NA
210322_Blk_Blank5_B,"Acetyl CoA, 13C2",NA
210322_Blk_Blank5_C,"Acetyl CoA, 13C2",NA
210322_Smp_Aloha_A,"Acetyl CoA, 13C2",NA
210322_Smp_Aloha_B,"Acetyl CoA, 13C2",NA
210322_Smp_Aloha_C,"Acetyl CoA, 13C2",NA
210322_Smp_LW_A,"Acetyl CoA, 13C2",NA
210322_Smp_LW_B,"Acetyl CoA, 13C2",NA
210322_Smp_LW_C,"Acetyl CoA, 13C2",NA
210322_Smp_NP_A,"Acetyl CoA, 13C2",NA
210322_Smp_NP_B,"Acetyl CoA, 13C2",NA
210322_Smp_NP_C,"Acetyl CoA, 13C2",NA
210322_Smp_PS_A,"Acetyl CoA, 13C2",NA
210322_Smp_PS_B,"Acetyl CoA, 13C2",NA
210322_Smp_PS_C,"Acetyl CoA, 13C2",NA
210322_Blk_Blank1_A,"Adenosine Monophosphate, 15N5",34100880
210322_Blk_Blank1_B,"Adenosine Monophosphate, 15N5",30544238
210322_Blk_Blank1_C,"Adenosine Monophosphate, 15N5",24493776
210322_Blk_Blank2_A,"Adenosine Monophosphate, 15N5",35253668
210322_Blk_Blank2_B,"Adenosine Monophosphate, 15N5",37850748
210322_Blk_Blank2_C,"Adenosine Monophosphate, 15N5",33264078
210322_Blk_Blank3_A,"Adenosine Monophosphate, 15N5",35120488
210322_Blk_Blank3_B,"Adenosine Monophosphate, 15N5",28852278
210322_Blk_Blank3_C,"Adenosine Monophosphate, 15N5",36266748
