MF,Fraction,mz,Retention_time,annotation,method,210329_Smp_PS_A,210329_Smp_PS_B,210329_Smp_PS_C,210329_Smp_PPL_Aloha_A,210329_Smp_PPL_Aloha_B,210329_Smp_PPL_Aloha_C,210329_Smp_PPL_PS_A,210329_Smp_PPL_PS_B,210329_Smp_PPL_PS_C,210329_Smp_Aloha_A,210329_Smp_Aloha_B,210329_Smp_Aloha_C,210322_Smp_PPL_PS_A,210322_Smp_PPL_PS_B,210322_Smp_PPL_PS_C,210322_Smp_Aloha_A,210322_Smp_Aloha_B,210322_Smp_Aloha_C,210322_Smp_PS_A,210322_Smp_PS_B,210322_Smp_PS_C,210322_Smp_PPL_Aloha_A,210322_Smp_PPL_Aloha_B,210322_Smp_PPL_Aloha_C
1035_RP,RP,138.5547,1.379,Unknown,PPL,NA,NA,NA,NA,NA,NA,70590,70286,90752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1036_RP,RP,138.56583,1.083,Unknown,PPL,NA,NA,NA,780932.6567329867,295144.5521105549,571431.0058056539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1037_RP,RP,138.90631,0.662,Unknown,CatEx,2571931.4070308106,3093511.934305308,498010.1646120177,NA,NA,NA,NA,NA,NA,2193138.3025774364,1205504.8167396544,8278609.110759196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1037_RP,RP,138.90631,0.662,Unknown,PPL,NA,NA,NA,45119469.32649715,23213777.364339057,36715350.10366273,16518084.12231924,14885876.014165446,23269791.24601657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1038_RP,RP,138.97353,0.774,Unknown,CatEx,4549135.85223769,5046408.481463937,4602584.364420018,NA,NA,NA,NA,NA,NA,6355761.773151613,6591175.386495641,7377217.755027839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1048_RP,RP,139.05028,0.913,Unknown,CatEx,NA,NA,NA,NA,NA,NA,NA,NA,NA,11785713.522900462,13575826.682278726,8492800.471933998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1048_RP,RP,139.05028,0.913,Unknown,PPL,NA,NA,NA,5091625.284504174,3977067.257557915,3682394.7631150777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1049_RP,RP,139.05029,1.026,Unknown,CatEx,NA,NA,NA,NA,NA,NA,NA,NA,NA,24259610,39387248,17923734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1049_RP,RP,139.05029,1.026,Unknown,PPL,NA,NA,NA,20508140,19921152,23555462,8112668,7636784,8801780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1053_RP,RP,139.11182,4.803,Unknown,PPL,NA,NA,NA,NA,NA,NA,807812.8740139202,796092.8254600826,915745.9809500984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1054_RP,RP,139.11182,4.648,Unknown,PPL,NA,NA,NA,NA,NA,NA,1225323.5817967865,1176463.7836471498,1498882.9519311255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1058_RP,RP,139.11186,4.291,Unknown,PPL,NA,NA,NA,NA,NA,NA,1957781.3821060369,1428187.4208531308,1478365.8127342234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1063_RP,RP,139.11192,2.658,Unknown,PPL,NA,NA,NA,NA,NA,NA,1175764,1467502,947976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1064_RP,RP,139.11194,6.293,Unknown,PPL,NA,NA,NA,NA,NA,NA,400868.5119689116,270694.11913658463,403039.8104247139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1065_RP,RP,139.11194,4.855,Unknown,PPL,NA,NA,NA,NA,NA,NA,666448.5658433363,1178413.6320594558,785754.8034764447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1067_RP,RP,139.14281,0.764,Unknown,CatEx,3550144.9458422633,4478446.306382625,4204044.077554596,NA,NA,NA,NA,NA,NA,4860642.580109737,4662432.008842364,2932480.6901033474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1088_RP,RP,140.03429,1.315,Unknown,PPL,NA,NA,NA,NA,NA,NA,394794.1563649511,687777.388043242,624282.4333618063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1091_RP,RP,140.0546,2.975,Unknown,PPL,NA,NA,NA,NA,NA,NA,2188308,1122404,2225074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1093_RP,RP,140.08194,0.799,Unknown,PPL,NA,NA,NA,1045761.7109052864,1036119.6513565838,1210152.959442512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1101_RP,RP,140.10716,0.896,Unknown,PPL,NA,NA,NA,1047591.4212500434,864407.0924237209,922298.706680153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1105_RP,RP,140.53389,0.928,Unknown,PPL,NA,NA,NA,NA,NA,NA,96165.53171652502,65457.31502179582,62112.3160015331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1110_RP,RP,140.6395,0.875,Unknown,CatEx,279175.49746812286,635383.8140881354,446611.3427455385,NA,NA,NA,NA,NA,NA,569834.0285619226,414207.0356328898,268219.0066335384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1112_RP,RP,140.90334,0.662,Unknown,CatEx,1704022.0607357342,1963480.5343864835,340391.6241542876,NA,NA,NA,NA,NA,NA,1380652.1332642802,829393.8003994223,5394233.46257488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1112_RP,RP,140.90334,0.662,Unknown,PPL,NA,NA,NA,29696049.046924025,15715439.40132066,24344075.123607337,11254102.606087562,9904908.578539431,15820440.738637429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1115_RP,RP,140.98596,0.882,Unknown,CatEx,427858.2744331803,400734.9215542511,626962.5495959911,NA,NA,NA,NA,NA,NA,425498.79796923447,407107.6191028968,408348.330700456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1141_RP,RP,141.07373,0.782,Unknown,CatEx,301916306.91593796,380679328.3430575,399166115.81112987,NA,NA,NA,NA,NA,NA,467261105.2212848,411638475.4195917,319446403.1932985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1141_RP,RP,141.07373,0.782,Unknown,PPL,NA,NA,NA,81246333.2803675,27417200.94362958,102986247.22621748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1142_RP,RP,141.07375,0.876,Unknown,CatEx,569527797.8464768,691703424.3338124,728220884.2205158,NA,NA,NA,NA,NA,NA,853724952.7382327,809810935.8661548,639771143.128733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1142_RP,RP,141.07375,0.876,Unknown,PPL,NA,NA,NA,81246328.33482128,54046922.66163342,100894415.55056904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1145_RP,RP,141.09113,3.1,Unknown,PPL,NA,NA,NA,NA,NA,NA,19164071.88007209,8092040.833353336,21762571.02015704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1147_RP,RP,141.10231,0.835,Unknown,PPL,NA,NA,NA,NA,NA,NA,573660,759590,620676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1150_RP,RP,141.1275,6.092,Unknown,PPL,NA,NA,NA,NA,NA,NA,1235488,485104,1163586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1151_RP,RP,141.1275,6.496,Unknown,PPL,NA,NA,NA,NA,NA,NA,1706324,658570,702032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1155_RP,RP,141.51802,2.039,Unknown,PPL,NA,NA,NA,NA,NA,NA,126112.84920749172,40999.51424721621,94428.41611247796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1170_RP,RP,142.07013,2.958,Unknown,PPL,NA,NA,NA,NA,NA,NA,417435.86835034646,483143.47216693783,576261.0321694314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1171_RP,RP,142.08633,0.959,Unknown,CatEx,2459400.030051055,265841625.69744003,281573578.0233076,NA,NA,NA,NA,NA,NA,339281958.54243654,310057089.3473038,254287435.2010354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1172_RP,RP,142.08636,1.424,Unknown,PPL,NA,NA,NA,3239642,3783216,2671380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1181_RP,RP,142.12274,3.896,Unknown,PPL,NA,NA,NA,NA,NA,NA,1444992,1266676,1503520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1183_RP,RP,142.52582,0.895,Unknown,CatEx,59565.85202086917,123301.07787741744,76340.17092182134,NA,NA,NA,NA,NA,NA,66428.40719525168,34761.77290840211,43848.48735803038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1187_RP,RP,142.90045,0.669,Unknown,CatEx,263549.2392703947,319060.7071126225,46093.18634113032,NA,NA,NA,NA,NA,NA,192551.10252421015,121853.20771533754,832444.7571648186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1187_RP,RP,142.90045,0.669,Unknown,PPL,NA,NA,NA,4268053.364707264,2376893.936978044,3713918.8778851465,1656777.058068924,1497153.2060950806,2416974.962314479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1188_RP,RP,142.93869,0.715,Unknown,PPL,NA,NA,NA,7488405.128007102,1935896.1716035984,7969080.610294146,3921078.8466679086,3381102.739963295,24373956.61962794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1202_RP,RP,143.08148,0.735,Unknown,CatEx,11580394.557424188,12827529.26785951,14073169.295128375,NA,NA,NA,NA,NA,NA,12781164.549237736,12887598.33653194,9954308.305027766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1203_RP,RP,143.1067,3.127,Unknown,PPL,NA,NA,NA,626411.5380736948,415819.13606408634,2912930.8963012146,1181750.3444544375,1542948.7536671616,2304584.16248459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1208_RP,RP,143.1068,4.461,Unknown,PPL,NA,NA,NA,NA,NA,NA,965498.5753975076,1414943.0658639374,702237.9935987594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1210_RP,RP,143.10686,3.554,Unknown,PPL,NA,NA,NA,NA,NA,NA,881453.0736157224,982169.0141072532,827098.2763459608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1212_RP,RP,143.11786,0.895,Unknown,PPL,NA,NA,NA,1095817.6411213668,1104279.1744680111,1037077.5701143236,846428.054472093,793973.6707762294,657557.5981664216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1235_RP,RP,144.10191,0.791,Unknown,CatEx,NA,NA,NA,NA,NA,NA,NA,NA,NA,6072917.883441449,5290785.873643471,4664968.935538579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1235_RP,RP,144.10191,0.791,Unknown,PPL,NA,NA,NA,711189.3276474517,1258731.5609023117,1390080.9600632642,222567.01411144336,722622.000635834,735379.0407524888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1236_RP,RP,144.10196,0.957,Unknown,PPL,NA,NA,NA,1148447.3233171522,1264860.8000830254,1252480.370945124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1248_RP,RP,144.54143,1.797,Unknown,PPL,NA,NA,NA,NA,NA,NA,118588.29774822464,47878.8397575152,192688.96856521655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1251_RP,RP,144.60527,0.881,Unknown,CatEx,299580,95414,122780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1251_RP,RP,144.60527,0.881,Unknown,PPL,NA,NA,NA,NA,NA,NA,1025234,1137156,1983388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1280_RP,RP,145.56245,2.033,Unknown,PPL,NA,NA,NA,39777.782221155525,65962.43417767569,95854.7536434891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1291_RP,RP,146.06007,3.911,Unknown,PPL,NA,NA,NA,1035400,1140892,1113406,2367090,4131742,4908474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1293_RP,RP,146.06013,5.508,Unknown,PPL,NA,NA,NA,NA,NA,NA,1110003.473848099,1271155.0264596962,1387538.3596728486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1296_RP,RP,146.08122,1.098,Unknown,PPL,NA,NA,NA,1857322,2213616,2383422,3155320,1588302,3005220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1298_RP,RP,146.11752,0.775,Unknown,CatEx,4954850,5408040,4248600,NA,NA,NA,NA,NA,NA,2016560,1595500,2035614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1298_RP,RP,146.11752,0.775,Unknown,PPL,NA,NA,NA,358010,551788,457406,758920,2644188,607326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1316_RP,RP,147.04408,3.17,Unknown,PPL,NA,NA,NA,NA,NA,NA,993383.5183265096,647644.9454057865,1024324.1706467106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1327_RP,RP,147.06242,4.743,Unknown,PPL,NA,NA,NA,NA,NA,NA,2144590.403616468,1026794.0822515936,2301393.662392719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1328_RP,RP,147.07637,0.701,Unknown,CatEx,3197749.0299600335,3816877.441109715,4288119.674216628,NA,NA,NA,NA,NA,NA,6025340.04923886,5229547.976538906,1881982.0992228936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1333_RP,RP,147.10165,1.56,Unknown,PPL,NA,NA,NA,419198,341060,1785206,1483826,1877538,949254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1334_RP,RP,147.11287,0.866,Unknown,PPL,NA,NA,NA,NA,NA,NA,250808,163562,166888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1356_RP,RP,148.05202,3.566,Unknown,PPL,NA,NA,NA,418312.95545734337,229926.8141780643,579279.5096709026,942975.2954304996,538431.3452032979,838480.5605139384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1358_RP,RP,148.06041,0.708,Unknown,CatEx,3436271.72480693,3713439.1569569935,4210265.833311632,NA,NA,NA,NA,NA,NA,10286195.805020528,10358769.03535425,5230045.609743306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1358_RP,RP,148.06041,0.708,Unknown,PPL,NA,NA,NA,874257.5865497597,1231899.919156032,768155.8879888282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1364_RP,RP,148.92566,0.668,Unknown,PPL,NA,NA,NA,3504984.0208964674,1295853.029707268,3383499.09219161,1782992.6051001623,1658482.5415004804,647311.7441680258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1392_RP,RP,149.09625,4.471,Unknown,PPL,NA,NA,NA,NA,NA,NA,3516128,1782526,4861694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1400_RP,RP,149.55186,3.064,Unknown,PPL,NA,NA,NA,NA,NA,NA,1014976,164704,633536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1417_RP,RP,150.07747,0.996,Unknown,PPL,NA,NA,NA,1267754.9165516868,263857.7262106037,1979817.585796962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1424_RP,RP,150.11261,0.71,Unknown,CatEx,12146610.32631642,16610567.67260198,16543588.502401216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1432_RP,RP,150.93228,0.669,Unknown,PPL,NA,NA,NA,842154.8096931248,419299.34682910354,1007287.2687663608,540865.7107574921,484678.55142489984,153398.84466773111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1445_RP,RP,151.06154,0.703,Unknown,CatEx,NA,NA,NA,NA,NA,NA,NA,NA,NA,3857419.313460109,1851420.2056050124,785794.6964178423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1450_RP,RP,151.07553,2.641,Unknown,PPL,NA,NA,NA,NA,NA,NA,4291033.009509592,2124425.3613898046,2971514.858862026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1457_RP,RP,151.11189,5.785,Unknown,PPL,NA,NA,NA,NA,NA,NA,7115562,6541634,4589038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1458_RP,RP,151.11191,4.819,Unknown,PPL,NA,NA,NA,NA,NA,NA,951450,817486,1588900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1463_RP,RP,151.14409,0.735,Unknown,CatEx,NA,NA,NA,NA,NA,NA,NA,NA,NA,84657176,76373520,120831672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1465_RP,RP,151.14835,7.372,Unknown,PPL,NA,NA,NA,NA,NA,NA,564930,499342,505808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1477_RP,RP,152.02908,0.676,Unknown,PPL,NA,NA,NA,137689891.77634108,121117937.32007876,142672948.03576767,101215431.30745316,98816942.00582746,75042241.10838638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1479_RP,RP,152.05679,0.931,Unknown,PPL,NA,NA,NA,399833.8110876292,416832.68753646454,291179.2042180068,1240724.0358615734,798804.9502995271,1214247.6205165258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1481_RP,RP,152.07076,1.716,Unknown,PPL,NA,NA,NA,NA,NA,NA,3147668,2702092,2958428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1488_RP,RP,152.10709,5.071,Unknown,PPL,NA,NA,NA,1265626,1074506,1072292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1528_RP,RP,153.07394,0.826,Unknown,PPL,NA,NA,NA,1126229.4569542126,2308912.339259777,1259992.4279365323,2860952.8760338463,1780280.1545712077,5405245.568135106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1533_RP,RP,153.09113,2.908,Unknown,PPL,NA,NA,NA,NA,NA,NA,17140895.499749273,11505192.690131703,27629562.00915945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1536_RP,RP,153.09122,1.931,Unknown,PPL,NA,NA,NA,NA,NA,NA,3098546,2635766,5398236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1541_RP,RP,153.12753,5.937,Unknown,PPL,NA,NA,NA,NA,NA,NA,1147786.1513555928,563289.2168634984,882005.8803309355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1543_RP,RP,153.12761,6.508,Unknown,PPL,NA,NA,NA,NA,NA,NA,325575.2082953138,339986.2305798534,575705.32899145165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1545_RP,RP,153.12767,7.22,Unknown,PPL,NA,NA,NA,NA,NA,NA,421609.62903732026,276180.54148382467,381750.70637236786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1557_RP,RP,154.03215,1.489,Unknown,PPL,NA,NA,NA,4386470,4478788,4979020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1562_RP,RP,154.07021,6.092,Unknown,PPL,NA,NA,NA,NA,NA,NA,1880579.4866782944,572435.5773708844,1462862.7816338066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1567_RP,RP,154.12262,5.451,Unknown,PPL,NA,NA,NA,201042.6355006013,190673.9323538333,203338.9965021407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1579_RP,RP,154.54953,1.413,Unknown,PPL,NA,NA,NA,83148.01928516211,78199.05781232653,214931.9987733318,256226.05884817397,130293.72150526544,250328.99193405057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1583_RP,RP,154.56779,3.896,Unknown,PPL,NA,NA,NA,105478.34090846592,68910.67207799891,66337.82425076637,70614.25574507866,77007.70102743687,91175.39086756732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1585_RP,RP,154.8802,0.664,Unknown,PPL,NA,NA,NA,983487.3929882832,558898.2343983885,849283.4267021675,410196.0582514367,353476.0994079947,497981.59910844814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1595_RP,RP,155.05252,5.13,Unknown,PPL,NA,NA,NA,2666098,2094072,2543652,2284480,1921162,2763236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1597_RP,RP,155.05405,0.923,Unknown,CatEx,20771336.510391332,27819768.037693784,22993943.00926422,NA,NA,NA,NA,NA,NA,39862320.148206495,33462339.67944903,23022116.83833595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1598_RP,RP,155.07031,2.003,Unknown,PPL,NA,NA,NA,2771358,2088772,4385620,12790192,5523444,11689566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1601_RP,RP,155.07048,1.459,Unknown,PPL,NA,NA,NA,950733.0404180553,812356.2444633446,6119946.534898746,5410051.622802519,3532503.9237437644,7689016.527005497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1602_RP,RP,155.08157,0.944,Unknown,CatEx,2777954.731074595,4319440.585208724,5188514.085192474,NA,NA,NA,NA,NA,NA,5902490.648708912,5079852.121670932,5187184.835547276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1602_RP,RP,155.08157,0.944,Unknown,PPL,NA,NA,NA,1183743.686640981,414993.7988789664,1581023.967477541,906194.135480963,1995731.397322134,3200252.728604403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1606_RP,RP,155.10677,4.931,Unknown,PPL,NA,NA,NA,NA,NA,NA,9065402,7128076,13589628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1607_RP,RP,155.10677,4.555,Unknown,PPL,NA,NA,NA,847833.5331324672,783766.3773255347,7379459.573386847,11323939.213549685,4849783.1857892405,11752820.453929398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1609_RP,RP,155.10678,4.755,Unknown,PPL,NA,NA,NA,1419077.5031975715,1058870.199458028,4811199.956711849,6102284.2142090155,3163516.1539558093,6811985.028571911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1612_RP,RP,155.10686,5.536,Unknown,PPL,NA,NA,NA,NA,NA,NA,1328526.051892578,836194.5035600913,983091.2667577582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1634_RP,RP,156.06557,1.048,Unknown,PPL,NA,NA,NA,610037.2747302594,607502.9854934532,848092.6863318384,1387727.2897307258,1317071.4268395898,1372694.405064097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1635_RP,RP,156.07675,0.689,Unknown,CatEx,2294835.537291434,1665061.3124915245,2907324.480007094,NA,NA,NA,NA,NA,NA,2359709.57016556,2341555.042532247,596025.6093007084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1637_RP,RP,156.10196,2.284,Unknown,PPL,NA,NA,NA,446056.6025974259,299980.7289775671,330125.4185997591,447449.92443109053,336591.6324218194,406073.9415133598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1638_RP,RP,156.10197,0.937,Unknown,PPL,NA,NA,NA,668572.319541488,859917.1765305126,947840.5437118992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1655_RP,RP,156.87729,0.665,Unknown,PPL,NA,NA,NA,685242.5194397359,301356.79262291675,494060.7123125075,229550.31728964837,175432.61209776302,296571.5993777271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1676_RP,RP,157.0836,1.223,Unknown,PPL,NA,NA,NA,NA,NA,NA,7377483.779753126,8636196.790794993,2737034.2820842946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1677_RP,RP,157.08363,1.078,Unknown,PPL,NA,NA,NA,3890683.4609066825,2102374.631265607,3589854.3487005057,3233647.201703094,3174621.759107931,3564932.885346615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1678_RP,RP,157.08607,3.565,Unknown,PPL,NA,NA,NA,NA,NA,NA,2063727.5907094623,1134078.8695770216,2171908.5778106125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1679_RP,RP,157.08609,1.916,Unknown,PPL,NA,NA,NA,NA,NA,NA,13144565.851394651,6106285.3683789745,24275613.26440772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1680_RP,RP,157.12242,4.628,Unknown,PPL,NA,NA,NA,464510.4280777092,685275.3605459925,1531267.236248732,835692.4515256791,890351.6776296208,1104872.4304054214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1681_RP,RP,157.12242,4.803,Unknown,PPL,NA,NA,NA,NA,NA,NA,546120.7685681605,602257.8092503836,767481.4179493955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
