MF,Fraction,mz,Retention_time,annotation,method,210329_Smp_PS_A,210329_Smp_PS_B,210329_Smp_PS_C,210329_Smp_PPL_Aloha_A,210329_Smp_PPL_Aloha_B,210329_Smp_PPL_Aloha_C,210329_Smp_PPL_PS_A,210329_Smp_PPL_PS_B,210329_Smp_PPL_PS_C,210329_Smp_Aloha_A,210329_Smp_Aloha_B,210329_Smp_Aloha_C,210322_Smp_PPL_PS_A,210322_Smp_PPL_PS_B,210322_Smp_PPL_PS_C,210322_Smp_Aloha_A,210322_Smp_Aloha_B,210322_Smp_Aloha_C,210322_Smp_PS_A,210322_Smp_PS_B,210322_Smp_PS_C,210322_Smp_PPL_Aloha_A,210322_Smp_PPL_Aloha_B,210322_Smp_PPL_Aloha_C
411_HILICNeg,HILICNeg,127.03918,2.258,Unknown,PPL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7048312,6048524,4802480,NA,NA,NA,NA,NA,NA,3589824,3367316,4498826
415_HILICNeg,HILICNeg,127.07554,2.255,Unknown,PPL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19701694,10623446,16695166,NA,NA,NA,NA,NA,NA,NA,NA,NA
423_HILICNeg,HILICNeg,128.03445,7.333,Unknown,PPL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19722352,23068398,19932312
428_HILICNeg,HILICNeg,128.94101,3.548,Unknown,CatEx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,896254,564744,9337020,NA,NA,NA,NA,NA,NA
432_HILICNeg,HILICNeg,129.01854,10.535,Unknown,PPL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44232588,40690192,24456834,NA,NA,NA,NA,NA,NA,NA,NA,NA
485_HILICNeg,HILICNeg,134.91522,14.896,Unknown,PPL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4759460,4389176,3547588,NA,NA,NA,NA,NA,NA,NA,NA,NA
528_HILICNeg,HILICNeg,137.98572,7.873,Unknown,CatEx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22889982,26683112,39940864,NA,NA,NA
556_HILICNeg,HILICNeg,139.96495,2.909,Unknown,CatEx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1389528704,1766495872,11330909184,NA,NA,NA
559_HILICNeg,HILICNeg,139.9651,7.987,Unknown,CatEx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20844664,33640548,566110272,76570936,140776256,163857216,NA,NA,NA
581_HILICNeg,HILICNeg,141.05489,2.258,Unknown,PPL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3382340,3390280,3448250,NA,NA,NA,NA,NA,NA,NA,NA,NA
585_HILICNeg,HILICNeg,141.96075,2.91,Unknown,CatEx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74510968,95598008,629963136,NA,NA,NA
594_HILICNeg,HILICNeg,143.07047,2.248,Unknown,PPL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60465996,29683204,56519584,NA,NA,NA,NA,NA,NA,NA,NA,NA
662_HILICNeg,HILICNeg,152.03471,3.021,Unknown,PPL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4451836,4415012,4897296
676_HILICNeg,HILICNeg,153.0549,2.249,Unknown,PPL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3274652,2488178,3615870,NA,NA,NA,NA,NA,NA,NA,NA,NA
682_HILICNeg,HILICNeg,153.98087,2.259,Unknown,CatEx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9281840,12472760,159099472,NA,NA,NA
719_HILICNeg,HILICNeg,155.98793,3.783,Unknown,CatEx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5980382,5697532,3548758,NA,NA,NA
763_HILICNeg,HILICNeg,159.10207,2.252,Unknown,PPL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5905414.958433578,8289879.1311395345,14988762.142444868,NA,NA,NA,NA,NA,NA,1990881.0840207448,1885448.9355742384,17858471.11851355
855_HILICNeg,HILICNeg,167.9966,2.563,Unknown,CatEx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39993776,64718440,143822336,NA,NA,NA
955_HILICNeg,HILICNeg,174.93701,14.942,Unknown,PPL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14062329.417868694,8615288.861314395,11600633.068479829,NA,NA,NA,NA,NA,NA,8598500.772492146,7975968.705982024,12204901.422593031
967_HILICNeg,HILICNeg,175.93649,14.846,Unknown,PPL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,753888,887364,1256538,NA,NA,NA,NA,NA,NA,719460,951718,1161982
1006_HILICNeg,HILICNeg,179.07083,2.253,Unknown,PPL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4690918,3468080,4616220,NA,NA,NA,NA,NA,NA,NA,NA,NA
1024_HILICNeg,HILICNeg,181.01378,12.329,Unknown,PPL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8548340,3599558,6657184,NA,NA,NA,NA,NA,NA,NA,NA,NA
1026_HILICNeg,HILICNeg,181.05022,2.253,Unknown,PPL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3842398,3800396,2248760,NA,NA,NA,NA,NA,NA,NA,NA,NA
1082_HILICNeg,HILICNeg,185.08159,2.216,Unknown,PPL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46114376,26244964,46546888,NA,NA,NA,NA,NA,NA,NA,NA,NA
1108_HILICNeg,HILICNeg,187.09711,2.341,Unknown,PPL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7848332,4766172,9025698,NA,NA,NA,NA,NA,NA,NA,NA,NA
1165_HILICNeg,HILICNeg,192.04248,2.218,Unknown,PPL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2177316,2621178,2760368,NA,NA,NA,NA,NA,NA,NA,NA,NA
1170_HILICNeg,HILICNeg,192.99763,12.788,Unknown,PPL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1438422,1166422,1426204,NA,NA,NA,NA,NA,NA,NA,NA,NA
1193_HILICNeg,HILICNeg,194.9272,14.9,Unknown,PPL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,488926912,540493824,1304657152,NA,NA,NA,NA,NA,NA,2889149696,89714688,1813917440
1233_HILICNeg,HILICNeg,197.08176,2.232,Unknown,PPL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7088132,5347258,5482834,NA,NA,NA,NA,NA,NA,4287866,3963590,4129132
1257_HILICNeg,HILICNeg,199.06099,2.227,Unknown,PPL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14003394,9433628,11286718,NA,NA,NA,NA,NA,NA,8060112,7347108,7446712
1272_HILICNeg,HILICNeg,200.00211,3.493,Unknown,CatEx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102671960,87157208,59508372,NA,NA,NA,NA,NA,NA
