Mass Feature,Analysis Fraction,m/z,Retention Time (min),CX-SPE - Aloha,CX-SPE - PS,PPL - Aloha,PPL - PS,Tentative Compound ID
8_HILICNeg,HILICNeg,61.98714,5.16,    ND,    ND,    ND,    ND,unknown
43_HILICPos,HILICPos,76.07635,7.227,949210000,43449000,8411300,    ND,Trimethylamine N-oxide
45_HILICPos,HILICPos,76.1035,9.333,1383300,1470600,    ND,    ND,unknown
47_HILICPos,HILICPos,77.10972,9.336,6315400,6201700,    ND,    ND,unknown
61_HILICNeg,HILICNeg,78.91776,8.384,    ND,    ND,1353800000,1683300000,unknown
69_HILICNeg,HILICNeg,79.95621,2.919,    ND,148870000,    ND,    ND,unknown
71_HILICNeg,HILICNeg,79.95624,14.878,    ND,    ND,30806000,14574000,unknown
52_HILICPos,HILICPos,80.1316,8.545,8962900,9548500,    ND,    ND,unknown
76_HILICNeg,HILICNeg,80.91569,8.384,    ND,    ND,1608600000,2010400000,unknown
87_HILICNeg,HILICNeg,81.95203,2.913,    ND,11284000,    ND,    ND,unknown
89_HILICNeg,HILICNeg,81.95206,14.884,    ND,    ND,    ND,1702300,unknown
80_HILICPos,HILICPos,86.09702,6.958,6525200,3474100,12592000,4750700,unknown
1_RP,RP,90.05545,0.699,    ND,201310,    ND,    ND,unknown
16_RP,RP,90.9771,0.675,    ND,    ND,4296100,3035500,unknown
19_RP,RP,91.05475,4.799,    ND,    ND,16898000,15927000,unknown
38_RP,RP,93.04527,1.025,1147600,614740,913920,309610,unknown
42_RP,RP,93.07428,0.699,5837600,5660200,    ND,    ND,unknown
114_HILICPos,HILICPos,93.0743,10.558,19832000,20498000,    ND,    ND,unknown
143_HILICNeg,HILICNeg,93.9719,2.909,    ND,82371000,    ND,    ND,unknown
118_HILICPos,HILICPos,94.0657,10.921,4846100,4277800,    ND,    ND,unknown
53_RP,RP,94.06573,0.92,    ND,    ND,    ND,74824000,unknown
76_RP,RP,95.08608,3.1,    ND,    ND,13291000,32705000,unknown
85_RP,RP,96.04485,0.827,    ND,    ND,4567800,3903400,unknown
164_HILICNeg,HILICNeg,96.71236,14.927,    ND,    ND,7814000,3280100,unknown
91_RP,RP,96.92216,0.664,4688000,    ND,15172000,7743800,unknown
