Compound_Name,Column,Spike_Concentration_uM
Riboflavin,RP,0.0025
Nicotinic acid,RP,0.0025
Pantothenic acid,RP,0.0025
Pyridoxine,RP,0.0025
Biotin,RP,0.0025
Folic acid,RP,0.0025
Gibberellin A3,RP,0.0025
Gibberellin A4,RP,0.0025
Zeatin,RP,0.0025
N6-Dimethylallyladenine,RP,0.0025
Dihydrozeatin,RP,0.0025
Indole-3-acetic acid,RP,0.0025
Indolebutyric acid,RP,0.0025
took this one out of the skyline file,RP,0.0025
Methyl indole-3-carboxylate,RP,0.0025
Indolelactate,RP,0.0025
Indole-3-methyl acetate,RP,0.0025
3-Indoleacetonitrile,RP,0.0075
3-Indolepropionic acid,RP,0.0025
Kinetin,RP,0.0025
Monesin,RP,0.0025
Indole-3-acetamide,RP,0.0025
Indole-3-carboxylic acid,RP,0.0025
Camalexin,RP,0.0025
Indole-3-carbinol,RP,0.0125
Indolepyruvic acid,RP,0.01
Syringic acid,RP,0.0025
Acetosyringone,RP,0.0025
"2,5-Dihydroxybenzoic acid",RP,0.0125
Caffeic acid,RP,0.0075
4-Aminobenzoic acid,RP,0.0025
trans-Cinnamic acid,RP,0.0025
Sinapic acid,RP,0.0025
4-hydroxybenzaldehyde,RP,0.0025
p-Coumaric acid,RP,0.0025
Vanillic acid,RP,0.0025
Vanillin,RP,0.0025
Ferulic acid,RP,0.0025
Acetovanillone,RP,0.0025
Syringaldehyde,RP,0.0025
Ethyl aminobenzoate,RP,0.0025
L-Cysteinylglycine,RP,0.0025
Methylthioadenosine,RP,0.0025
7-Dehydrocholesterol,RP,0.0025
Abscisic acid,RP,0.0025
alpha-Tocopherol,RP,0.0025
Arachidonic acid,RP,0.0025
Glycine betaine,RP,0.0025
beta-Carotene,RP,0.0025
Coenzyme Q1,RP,0.0025
Coenzyme Q10,RP,0.0025
Docosahexaenoic acid,RP,0.0025
Eicosapentaenoic acid,RP,0.0025
Ergosterol,RP,0.0025
Glutathione,RP,0.0025
Melatonin,RP,0.0025
Muramic acid,RP,0.0025
1-Palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,RP,0.0025
1-Stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,RP,0.0025
Retinoic acid,RP,0.0025
took this one out of the skyline file,RP,0.0025
Squalene,RP,0.0025
alpha-Tocotrienol,RP,0.0025
Retinal,RP,0.0025
Ascorbic acid,RP,0.0025
Calciferol,RP,0.0025
Phytonadione,RP,0.0025
Menaquinone,RP,0.0025
S-Adenosylhomocysteine,RP,0.0025
S-Adenosylmethionine,RP,0.0025
Caffeine,RP,0.0025
Choline,RP,0.0025
Creatine,RP,0.0025
Dimethylbenzimidazole,RP,0.0025
Dimethylglycine,RP,0.0025
Domoic acid,RP,0.0025
Sarcosine,RP,0.0025
took this one out of the skyline file,RP,0.0025
took this one out of the skyline file,RP,0.0025
L-Cysteine,HILIC,0.025024038
5-(2-Hydroxyethyl)-4-methylthiazole,RP,0.0025
L-Tryptophan,RP,0.0025
L-Phenylalanine,RP,0.0025
Tryptophol,RP,0.0025
Tryptamine,RP,0.0025
took this one out of the skyline file,RP,0.0075
Homoserine lactone,RP,0.0025
