Compound_Name,Column,Spike_Concentration_uM
took this one out of the skyline file,HILIC,0.030028846
"2,5-Dihydroxybenzoic acid",HILIC,0.030028846
took this one out of the skyline file,HILIC,0.125120192
Dimethylsulfoniopropionate,HILIC,0.025024038
Taurine,HILIC,0.025024038
Methylthioadenosine,HILIC,0.025024038
Sodium 2-mercaptoethanesulfonate,HILIC,0.025024038
Ethyl dihydroxybenzoate,HILIC,0.025024038
"(R)-2,3-Dihydroxypropane-1-sulfonate",HILIC,0.025024038
L-Cysteic acid,HILIC,0.025024038
N-Acetyltaurine,HILIC,0.025024038
Sulfolactic acid,HILIC,0.100096154
Isethionic acid,HILIC,0.025024038
Indole-3-carbinol,HILIC,0.025024038
Indolepyruvic acid,HILIC,0.025024038
Sulfoacetic acid,HILIC,0.025024038
Guanosine triphosphate,HILIC,0.025024038
Guanosine monophosphate,HILIC,0.025024038
"3',5'-Cyclic diGMP",HILIC,0.025024038
Chitobiose,HILIC,0.025024038
L-Homocysteine,HILIC,0.025024038
D-Gluconic acid,HILIC,0.025024038
Glycerophosphoric acid,HILIC,0.025024038
UDP-glucose,HILIC,0.025024038
UDP-N-acetylglucosamine,HILIC,0.025024038
3-Sulfopyruvic acid,HILIC,0.025024038
NADP,HILIC,0.025024038
NADH,HILIC,0.025024038
Trehalose,HILIC,0.025024038
Sarcosine,HILIC,0.025024038
Ectoine,HILIC,0.050048077
Nicotinic acid,HILIC,0.025024038
Guanine,HILIC,0.025024038
Homarine,HILIC,0.025024038
took this one out of the skyline file,HILIC,0.025024038
2-O-alpha-D-Glucosylglycerol,HILIC,0.025024038
L-Cystathionine,HILIC,0.025024038
L-Alanine,HILIC,0.03121875
L-Arginine,HILIC,0.03121875
L-Aspartic acid,HILIC,0.03121875
L-Glutamic acid,HILIC,0.03121875
Glycine,HILIC,0.03121875
L-Histidine,HILIC,0.03121875
L-Isoleucine,HILIC,0.03121875
L-Leucine,HILIC,0.03121875
L-Lysine,HILIC,0.03121875
L-Methionine,HILIC,0.03121875
L-Phenylalanine,HILIC,0.03121875
L-Proline,HILIC,0.03121875
L-Serine,HILIC,0.03121875
L-Threonine,HILIC,0.03121875
L-Tyrosine,HILIC,0.03121875
L-Valine,HILIC,0.03121875
L-Cystine,HILIC,0.03121875
L-Asparagine,HILIC,0.03121875
L-Glutamine,HILIC,0.03121875
4-Aminobutyric acid,HILIC,0.03121875
L-Hydroxylysine,HILIC,0.03121875
Hydroxyproline,HILIC,0.03121875
S-Adenosylhomocysteine,HILIC,0.03121875
S-Adenosylmethionine,HILIC,0.03121875
Choline,HILIC,0.03121875
Dimethylglycine,HILIC,0.03121875
Glycine betaine,HILIC,0.03121875
2-Heptyl-3-hydroxy-quinolone,HILIC,0.03121875
Glutathione,HILIC,0.03121875
Thiamine monophosphate,HILIC,0.03121875
Thiamine diphosphate,HILIC,0.03121875
Muramic acid,HILIC,0.03121875
Creatine,HILIC,0.03121875
D-Glucose 6-phosphate,HILIC,0.024975
Isocitric acid,HILIC,0.024975
Malic acid,HILIC,0.024975
Methylphosphonic Acid,HILIC,0.024975
Phosphoenolpyruvic acid,HILIC,0.024975
2-Ketoglutaric acid,HILIC,0.024975
Orotic acid,HILIC,0.024975
cis-Aconitic acid,HILIC,0.024975
Adenine,HILIC,0.024975
Salicylic acid,HILIC,0.024975
Lipoic acid,HILIC,0.024975
Oxalic acid,HILIC,0.024975
Shikimic acid,HILIC,0.03121875
Thymidine,HILIC,0.024975
D-Fructose 6-phosphate,HILIC,0.024975
Fumaric acid,HILIC,0.024975
Succinic acid,HILIC,0.024975
Acetoacetyl-CoA,HILIC,0.024975
Acetyl-CoA,HILIC,0.024975
(S)-3-Hydroxybutyryl-CoA,HILIC,0.024975
Crotonoyl-CoA,HILIC,0.024975
Malonyl-CoA,HILIC,0.024975
D-Methylmalonyl-CoA,HILIC,0.024975
Propionyl-CoA,HILIC,0.024975
Succinyl-CoA,HILIC,0.024975
Glucosamine,HILIC,0.03121875
Glycerophosphocholine,HILIC,0.024975
Butyrylcarnitine,HILIC,0.024975
Isobutyryl-carnitine,HILIC,0.024975
5-Oxoproline,HILIC,0.024975
O-Propionylcarnitine,HILIC,0.024975
O-Acetylcarnitine,HILIC,0.024975
Ophthalmic acid,HILIC,0.03121875
Trimethylamine N-oxide,HILIC,0.024975
Trimethylamine,HILIC,0.0624375
took this one out of the skyline file,HILIC,0.0624375
3-Phosphoglycerate,HILIC,0.0624375
Glycerophosphoric acid,HILIC,0.0624375
took this one out of the skyline file,HILIC,0.0624375
took this one out of the skyline file,HILIC,0.031272837
D-Ribose 5-phosphate,HILIC,0.031272837
Citric acid,HILIC,0.031272837
Uracil,HILIC,0.031272837
Cytidine,HILIC,0.031272837
Riboflavin-5-phosphate,HILIC,0.031272837
D-Glucose 1-phosphate,HILIC,0.031272837
Dihydroxyacetone phosphate,HILIC,0.031272837
Ectoine,HILIC,0.031272837
"3',5'-Cyclic GMP",HILIC,0.031272837
Guanosine,HILIC,0.031272837
3-Phosphoglycerate,HILIC,0.031272837
Thymine,HILIC,0.031272837
took this one out of the skyline file,HILIC,0.031272837
Uridine,HILIC,0.031272837
Flavin adenine dinucleotide,HILIC,0.031272837
Cytosine,HILIC,0.031272837
Adenosine triphosphate,HILIC,0.031272837
Adenosine diphosphate,HILIC,0.031272837
Adenosine monophosphate,HILIC,0.031272837
"3',5'-Cyclic AMP",HILIC,0.031272837
Adenosine,HILIC,0.031272837
NAD,HILIC,0.031272837
NADPH,HILIC,0.031272837
Glutathione disulfide,HILIC,0.031272837
N-Methyltaurine,HILIC,0.031272837
Hypotaurine,HILIC,0.031272837
5-Hydroxyectoine,HILIC,0.000781821
Ethanesulfonic acid,HILIC,0.031272837
3-Aminopropanesulfonate,HILIC,0.031272837
1-Propanesulfonate,HILIC,0.031272837
Sucrose,HILIC,0.031316106
L-Methionine S-oxide,HILIC,0.025052885
L-Cysteinylglycine,HILIC,0.031316106
"Cys-Gly, oxidized",HILIC,0.025052885
N6-Acetyl-L-lysine,HILIC,0.025052885
Carnitine,HILIC,0.006263221
Homocysteine thiolactone,HILIC,0.025052885
L-Homocystine,HILIC,0.025052885
took this one out of the skyline file,HILIC,0.062632212
2-keto-4-methylthiobutyric acid,HILIC,0.031316106
2-Hydroxy-4-(methylthio)butyric acid,HILIC,0.031316106
Proline betaine,HILIC,0.003131611
Trigonelline,HILIC,0.003131611
L-Ornithine,HILIC,0.031316106
Citrulline,HILIC,0.025052885
L-Arginosuccinic acid,HILIC,0.025052885
L-Homoserine,HILIC,0.025052885
O-Acetyl-L-serine,HILIC,0.025052885
Maltose,HILIC,0.025019231
Lactose,HILIC,0.025019231
Allopurinol,HILIC,0.025019231
Hordenine,HILIC,0.025019231
Deoxyadenosine,HILIC,0.025019231
Hydroxyisoleucine,HILIC,0.025019231
Urocanic acid,HILIC,0.025019231
O-Methylmalonyl-L-carnitine,HILIC,0.025019231
Arsenobetaine,HILIC,0.025019231
Betonicine,HILIC,0.025019231
Dexpanthenol,HILIC,0.025019231
Sulfanilic acid,HILIC,0.025019231
Inosine,HILIC,0.025019231
beta-Alanine,HILIC,0.025019231
Melamine,HILIC,0.025019231
Succinic semialdehyde,HILIC,0.025019231
Dimethylsulfonioacetate,HILIC,0.012509615
Gonyol,HILIC,0.012509615
Acetylcholine,HILIC,0.025096154
L-Cysteinesulfinic acid,HILIC,0.031370192
beta-Alaninebetaine,HILIC,0.025096154
5-Methylcytosine,HILIC,0.025096154
N6-Methyladenine,HILIC,0.025096154
Carnosine,HILIC,0.025096154
N-Acetyl-D-glucosamine,HILIC,0.037644231
"N6,N6,N6-Trimethyl-L-lysine",HILIC,0.025096154
beta-Glutamic acid,HILIC,0.025096154
Anserine,HILIC,0.025096154
N-Acetylmuramic acid,HILIC,0.031370192
Hypoxanthine,HILIC,0.025096154
Threonic acid,HILIC,0.025052885
Propionylglycine,HILIC,0.031316106
Succinylglycine,HILIC,0.025052885
Acetylglycine,HILIC,0.031316106
Butyrylglycine,HILIC,0.025052885
Ergothioneine,HILIC,0.025052885
"2,3-Pyridinedicarboxylic acid",HILIC,0.031316106
Glutamylphenylalanine,HILIC,0.025052885
N-Acetyl-L-glutamic acid,HILIC,0.025052885
(3-Carboxypropyl)trimethylammonium,HILIC,0.025052885
took this one out of the skyline file,RP,0.0025
"2,4 octadienal",RP,0.0025
"2,4 decadienal",RP,0.0025
N-Octanoyl-L-homoserine lactone,RP,0.0025
N-Dodecanoyl-DL-homoserine lactone,RP,0.0025
N-Hexanoyl-L-homoserine lactone,RP,0.0025
N-(3-Oxohexanoyl)homoserine lactone,RP,0.0025
N-(3-Oxooctanoyl)homoserine lactone,RP,0.0025
N-Decanoyl-L-homoserine lactone,RP,0.0025
Thiotropocin,RP,0.0025
N-(4-Coumaroyl)-L-homoserine lactone,RP,0.0025
"2-(3,5-Dichlorophenylcarbamoyl)-1,2-dimethylcyclopropane-1-carboxylic acid",RP,0.0025
2-Heptyl-4(1H)-quinolone,RP,0.0025
N-(3-Hydroxydodecanoyl)homoserine lactone,RP,0.0025
N-Tetradecanoyl-DL-homoserine lactone,RP,0.0025
N-(3-Oxododecanoyl)homoserine lactone,RP,0.0025
N-Butyryl-L-homoserine lactone,RP,0.0025
N-(3-Oxodecanoyl)homoserine lactone,RP,0.0025
Xanthine,RP,0.0025
Ascorbic acid,RP,0.01
Chitobiose,RP,0.0025
L-Kynurenine,RP,0.0025
Eicosapentaenoic acid,RP,0.01
Calciferol,RP,0.01
took this one out of the skyline file,RP,0.01
N-(3-Oxooctanoyl)homoserine lactone,RP,0.0025
Adenosylcobalamin,RP,0.0025
Cyanocobalamin,RP,0.0025
Desthiobiotin,RP,0.0025
Hydroxocobalamin,RP,0.0025
Methylcobalamin,RP,0.0025
Pyridoxal phosphate,RP,0.0025
Pyridoxamine,RP,0.0025
Pyridoxal,RP,0.0025
Thiamine monophosphate,RP,0.0025
Thiamine diphosphate,RP,0.0025
Thiamine,RP,0.0025
